dataset,model,iteration,avg_latency_us,train_acc_percent,test_acc_percent,tdx_acc_percent
mnist,lr,1,15.6823,92.66,89.5833,89.5833
mnist,lr,2,19.0778,92.66,89.5833,89.5833
mnist,lr,3,15.8635,92.66,89.5833,89.5833
mnist,lr,4,14.1152,92.66,89.5833,89.5833
mnist,lr,5,16.3417,92.66,89.5833,89.5833
mnist,lr,6,17.2959,92.66,89.5833,89.5833
mnist,lr,7,13.8102,92.66,89.5833,89.5833
mnist,lr,8,14.1594,92.66,89.5833,89.5833
mnist,lr,9,21.0637,92.66,89.5833,89.5833
mnist,lr,10,15.0799,92.66,89.5833,89.5833
