dataset,model,threads,iteration,avg_latency_ms,train_acc_percent,test_acc_percent,fhe_acc_percent
iris,lr,1,1,183680000.0000,97.5,100,100
iris,lr,1,2,182409000.0000,97.5,100,100
iris,lr,1,3,182597750.0000,97.5,100,100
iris,lr,1,4,182258500.0000,97.5,100,100
iris,lr,1,5,182488750.0000,97.5,100,100
iris,lr,1,6,184854750.0000,97.5,100,100
iris,lr,1,7,184345250.0000,97.5,100,100
iris,lr,1,8,182133250.0000,97.5,100,100
iris,lr,1,9,184449250.0000,97.5,100,100
iris,lr,1,10,181400250.0000,97.5,100,100
iris,lr,2,1,123461500.0000,97.5,100,100
iris,lr,2,2,124767250.0000,97.5,100,100
iris,lr,2,3,122774750.0000,97.5,100,100
iris,lr,2,4,124204750.0000,97.5,100,100
iris,lr,2,5,124526250.0000,97.5,100,100
iris,lr,2,6,124119500.0000,97.5,100,100
iris,lr,2,7,122866250.0000,97.5,100,100
iris,lr,2,8,123441500.0000,97.5,100,100
iris,lr,2,9,124848250.0000,97.5,100,100
iris,lr,2,10,125111000.0000,97.5,100,100
iris,lr,4,1,63518500.0000,97.5,100,100
iris,lr,4,2,63386750.0000,97.5,100,100
iris,lr,4,3,62381250.0000,97.5,100,100
iris,lr,4,4,62519750.0000,97.5,100,100
iris,lr,4,5,61929250.0000,97.5,100,100
iris,lr,4,6,63387500.0000,97.5,100,100
iris,lr,4,7,61660250.0000,97.5,100,100
iris,lr,4,8,63300750.0000,97.5,100,100
iris,lr,4,9,62035750.0000,97.5,100,100
iris,lr,4,10,63300250.0000,97.5,100,100
iris,lr,6,1,62449000.0000,97.5,100,100
iris,lr,6,2,62908750.0000,97.5,100,100
iris,lr,6,3,62902500.0000,97.5,100,100
iris,lr,6,4,61446250.0000,97.5,100,100
iris,lr,6,5,63062500.0000,97.5,100,100
iris,lr,6,6,63062750.0000,97.5,100,100
iris,lr,6,7,61921500.0000,97.5,100,100
iris,lr,6,8,62875500.0000,97.5,100,100
iris,lr,6,9,63226250.0000,97.5,100,100
iris,lr,6,10,61672500.0000,97.5,100,100
iris,lr,8,1,63612000.0000,97.5,100,100
iris,lr,8,2,62059250.0000,97.5,100,100
iris,lr,8,3,62441250.0000,97.5,100,100
iris,lr,8,4,62495000.0000,97.5,100,100
iris,lr,8,5,62167750.0000,97.5,100,100
iris,lr,8,6,62991000.0000,97.5,100,100
iris,lr,8,7,61841750.0000,97.5,100,100
iris,lr,8,8,63276500.0000,97.5,100,100
iris,lr,8,9,62371250.0000,97.5,100,100
iris,lr,8,10,64527500.0000,97.5,100,100
iris,lr,10,1,64321000.0000,97.5,100,100
iris,lr,10,2,64516500.0000,97.5,100,100
iris,lr,10,3,62134750.0000,97.5,100,100
iris,lr,10,4,63554000.0000,97.5,100,100
iris,lr,10,5,61900750.0000,97.5,100,100
iris,lr,10,6,64681500.0000,97.5,100,100
iris,lr,10,7,62802500.0000,97.5,100,100
iris,lr,10,8,61788250.0000,97.5,100,100
iris,lr,10,9,63165750.0000,97.5,100,100
iris,lr,10,10,62329250.0000,97.5,100,100
iris,lr,12,1,61089000.0000,97.5,100,100
iris,lr,12,2,62954750.0000,97.5,100,100
iris,lr,12,3,61911000.0000,97.5,100,100
iris,lr,12,4,63267500.0000,97.5,100,100
iris,lr,12,5,62883750.0000,97.5,100,100
iris,lr,12,6,62105750.0000,97.5,100,100
iris,lr,12,7,64472250.0000,97.5,100,100
iris,lr,12,8,64165000.0000,97.5,100,100
iris,lr,12,9,63692750.0000,97.5,100,100
iris,lr,12,10,62340750.0000,97.5,100,100
iris,lr,14,1,62215750.0000,97.5,100,100
iris,lr,14,2,64503500.0000,97.5,100,100
iris,lr,14,3,65526500.0000,97.5,100,100
iris,lr,14,4,62198000.0000,97.5,100,100
iris,lr,14,5,61978250.0000,97.5,100,100
iris,lr,14,6,62459000.0000,97.5,100,100
iris,lr,14,7,61096750.0000,97.5,100,100
iris,lr,14,8,61899250.0000,97.5,100,100
iris,lr,14,9,63223250.0000,97.5,100,100
iris,lr,14,10,62778750.0000,97.5,100,100
iris,lr,16,1,64209250.0000,97.5,100,100
iris,lr,16,2,63479000.0000,97.5,100,100
iris,lr,16,3,65617500.0000,97.5,100,100
iris,lr,16,4,64183500.0000,97.5,100,100
iris,lr,16,5,63700000.0000,97.5,100,100
iris,lr,16,6,62524000.0000,97.5,100,100
iris,lr,16,7,63442750.0000,97.5,100,100
iris,lr,16,8,62782250.0000,97.5,100,100
iris,lr,16,9,62759500.0000,97.5,100,100
iris,lr,16,10,64453000.0000,97.5,100,100
