dataset,model,threads,iteration,avg_latency_ms,train_acc_percent,test_acc_percent,fhe_acc_percent
iris,mlp,1,1,627538250.0000,97.5,100,75
iris,mlp,1,2,634479750.0000,97.5,100,75
iris,mlp,1,3,638031500.0000,97.5,100,75
iris,mlp,1,4,628106500.0000,97.5,100,75
iris,mlp,1,5,631721000.0000,97.5,100,75
iris,mlp,1,6,633906250.0000,97.5,100,75
iris,mlp,1,7,631302750.0000,97.5,100,75
iris,mlp,1,8,632536750.0000,97.5,100,75
iris,mlp,1,9,629916500.0000,97.5,100,75
iris,mlp,1,10,637781250.0000,97.5,100,75
iris,mlp,2,1,319740250.0000,97.5,100,75
iris,mlp,2,2,320006500.0000,97.5,100,75
iris,mlp,2,3,319578000.0000,97.5,100,75
iris,mlp,2,4,327705500.0000,97.5,100,75
iris,mlp,2,5,322211500.0000,97.5,100,75
iris,mlp,2,6,321253500.0000,97.5,100,75
iris,mlp,2,7,321646000.0000,97.5,100,75
iris,mlp,2,8,322554500.0000,97.5,100,75
iris,mlp,2,9,320613500.0000,97.5,100,75
iris,mlp,2,10,322445250.0000,97.5,100,75
iris,mlp,4,1,197367000.0000,97.5,100,75
iris,mlp,4,2,196434250.0000,97.5,100,75
iris,mlp,4,3,197343250.0000,97.5,100,75
iris,mlp,4,4,195616000.0000,97.5,100,75
iris,mlp,4,5,196824250.0000,97.5,100,75
iris,mlp,4,6,194480750.0000,97.5,100,75
iris,mlp,4,7,196994750.0000,97.5,100,75
iris,mlp,4,8,196976000.0000,97.5,100,75
iris,mlp,4,9,197155500.0000,97.5,100,75
iris,mlp,4,10,194998500.0000,97.5,100,75
iris,mlp,6,1,134475750.0000,97.5,100,75
iris,mlp,6,2,133559250.0000,97.5,100,75
iris,mlp,6,3,133073500.0000,97.5,100,75
iris,mlp,6,4,132628000.0000,97.5,100,75
iris,mlp,6,5,134100000.0000,97.5,100,75
iris,mlp,6,6,133264500.0000,97.5,100,75
iris,mlp,6,7,132817750.0000,97.5,100,75
iris,mlp,6,8,134133000.0000,97.5,100,75
iris,mlp,6,9,133865750.0000,97.5,100,75
iris,mlp,6,10,133407000.0000,97.5,100,75
iris,mlp,8,1,133732250.0000,97.5,100,75
iris,mlp,8,2,134055000.0000,97.5,100,75
iris,mlp,8,3,132341250.0000,97.5,100,75
iris,mlp,8,4,132936750.0000,97.5,100,75
iris,mlp,8,5,131382000.0000,97.5,100,75
iris,mlp,8,6,133409250.0000,97.5,100,75
iris,mlp,8,7,132108500.0000,97.5,100,75
iris,mlp,8,8,133821500.0000,97.5,100,75
iris,mlp,8,9,133923500.0000,97.5,100,75
iris,mlp,8,10,134719000.0000,97.5,100,75
iris,mlp,10,1,69072000.0000,97.5,100,75
iris,mlp,10,2,70260250.0000,97.5,100,75
iris,mlp,10,3,70587250.0000,97.5,100,75
iris,mlp,10,4,67449000.0000,97.5,100,75
iris,mlp,10,5,68030750.0000,97.5,100,75
iris,mlp,10,6,69577500.0000,97.5,100,75
iris,mlp,10,7,70074500.0000,97.5,100,75
iris,mlp,10,8,67824750.0000,97.5,100,75
iris,mlp,10,9,68935000.0000,97.5,100,75
iris,mlp,10,10,68759000.0000,97.5,100,75
iris,mlp,12,1,69168000.0000,97.5,100,75
iris,mlp,12,2,71085500.0000,97.5,100,75
iris,mlp,12,3,67491000.0000,97.5,100,75
iris,mlp,12,4,68830750.0000,97.5,100,75
iris,mlp,12,5,69009250.0000,97.5,100,75
iris,mlp,12,6,68371750.0000,97.5,100,75
iris,mlp,12,7,69372500.0000,97.5,100,75
iris,mlp,12,8,69662500.0000,97.5,100,75
iris,mlp,12,9,69488000.0000,97.5,100,75
iris,mlp,12,10,68655250.0000,97.5,100,75
iris,mlp,14,1,69294000.0000,97.5,100,75
iris,mlp,14,2,69438750.0000,97.5,100,75
iris,mlp,14,3,68710250.0000,97.5,100,75
iris,mlp,14,4,67567500.0000,97.5,100,75
iris,mlp,14,5,67546000.0000,97.5,100,75
iris,mlp,14,6,69780000.0000,97.5,100,75
iris,mlp,14,7,70479000.0000,97.5,100,75
iris,mlp,14,8,69803250.0000,97.5,100,75
iris,mlp,14,9,70264500.0000,97.5,100,75
iris,mlp,14,10,68983250.0000,97.5,100,75
iris,mlp,16,1,70190500.0000,97.5,100,75
iris,mlp,16,2,67644250.0000,97.5,100,75
iris,mlp,16,3,67936000.0000,97.5,100,75
iris,mlp,16,4,70823250.0000,97.5,100,75
iris,mlp,16,5,68216500.0000,97.5,100,75
iris,mlp,16,6,70670000.0000,97.5,100,75
iris,mlp,16,7,70708750.0000,97.5,100,75
iris,mlp,16,8,69654250.0000,97.5,100,75
iris,mlp,16,9,70566250.0000,97.5,100,75
iris,mlp,16,10,67153500.0000,97.5,100,75
