dataset,model,threads,iteration,avg_latency_ms,train_acc_percent,test_acc_percent,fhe_acc_percent
mnist,lr,1,1,663891250.0000,92.66,89.5833,75
mnist,lr,1,2,660512750.0000,92.66,89.5833,75
mnist,lr,1,3,658089000.0000,92.66,89.5833,75
mnist,lr,1,4,657877750.0000,92.66,89.5833,75
mnist,lr,1,5,663592250.0000,92.66,89.5833,75
mnist,lr,1,6,663866750.0000,92.66,89.5833,75
mnist,lr,1,7,662580000.0000,92.66,89.5833,75
mnist,lr,1,8,662038000.0000,92.66,89.5833,75
mnist,lr,1,9,660300250.0000,92.66,89.5833,75
mnist,lr,1,10,666714250.0000,92.66,89.5833,75
mnist,lr,2,1,336022250.0000,92.66,89.5833,75
mnist,lr,2,2,340407000.0000,92.66,89.5833,75
mnist,lr,2,3,336201500.0000,92.66,89.5833,75
mnist,lr,2,4,338794250.0000,92.66,89.5833,75
mnist,lr,2,5,337300750.0000,92.66,89.5833,75
mnist,lr,2,6,337794250.0000,92.66,89.5833,75
mnist,lr,2,7,336192000.0000,92.66,89.5833,75
mnist,lr,2,8,335252250.0000,92.66,89.5833,75
mnist,lr,2,9,340913750.0000,92.66,89.5833,75
mnist,lr,2,10,337193750.0000,92.66,89.5833,75
mnist,lr,4,1,205157500.0000,92.66,89.5833,75
mnist,lr,4,2,203877250.0000,92.66,89.5833,75
mnist,lr,4,3,207036250.0000,92.66,89.5833,75
mnist,lr,4,4,202384000.0000,92.66,89.5833,75
mnist,lr,4,5,203542750.0000,92.66,89.5833,75
mnist,lr,4,6,205242500.0000,92.66,89.5833,75
mnist,lr,4,7,204273500.0000,92.66,89.5833,75
mnist,lr,4,8,206398750.0000,92.66,89.5833,75
mnist,lr,4,9,204595000.0000,92.66,89.5833,75
mnist,lr,4,10,202977750.0000,92.66,89.5833,75
mnist,lr,6,1,139255500.0000,92.66,89.5833,75
mnist,lr,6,2,139897000.0000,92.66,89.5833,75
mnist,lr,6,3,138972250.0000,92.66,89.5833,75
mnist,lr,6,4,138019250.0000,92.66,89.5833,75
mnist,lr,6,5,137804250.0000,92.66,89.5833,75
mnist,lr,6,6,138523500.0000,92.66,89.5833,75
mnist,lr,6,7,140053000.0000,92.66,89.5833,75
mnist,lr,6,8,140187000.0000,92.66,89.5833,75
mnist,lr,6,9,138380250.0000,92.66,89.5833,75
mnist,lr,6,10,136947000.0000,92.66,89.5833,75
mnist,lr,8,1,138402500.0000,92.66,89.5833,75
mnist,lr,8,2,136849250.0000,92.66,89.5833,75
mnist,lr,8,3,136850250.0000,92.66,89.5833,75
mnist,lr,8,4,138692500.0000,92.66,89.5833,75
mnist,lr,8,5,138400750.0000,92.66,89.5833,75
mnist,lr,8,6,138856000.0000,92.66,89.5833,75
mnist,lr,8,7,138264000.0000,92.66,89.5833,75
mnist,lr,8,8,137478500.0000,92.66,89.5833,75
mnist,lr,8,9,138212750.0000,92.66,89.5833,75
mnist,lr,8,10,136375750.0000,92.66,89.5833,75
mnist,lr,10,1,70066000.0000,92.66,89.5833,75
mnist,lr,10,2,69700750.0000,92.66,89.5833,75
mnist,lr,10,3,70810000.0000,92.66,89.5833,75
mnist,lr,10,4,69440000.0000,92.66,89.5833,75
mnist,lr,10,5,71781250.0000,92.66,89.5833,75
mnist,lr,10,6,71184750.0000,92.66,89.5833,75
mnist,lr,10,7,71484500.0000,92.66,89.5833,75
mnist,lr,10,8,71902750.0000,92.66,89.5833,75
mnist,lr,10,9,71825250.0000,92.66,89.5833,75
mnist,lr,10,10,69984500.0000,92.66,89.5833,75
mnist,lr,12,1,69843750.0000,92.66,89.5833,75
mnist,lr,12,2,70928250.0000,92.66,89.5833,75
mnist,lr,12,3,71261750.0000,92.66,89.5833,75
mnist,lr,12,4,72456250.0000,92.66,89.5833,75
mnist,lr,12,5,72044250.0000,92.66,89.5833,75
mnist,lr,12,6,71218500.0000,92.66,89.5833,75
mnist,lr,12,7,73048000.0000,92.66,89.5833,75
mnist,lr,12,8,72256250.0000,92.66,89.5833,75
mnist,lr,12,9,72909500.0000,92.66,89.5833,75
mnist,lr,12,10,73095750.0000,92.66,89.5833,75
mnist,lr,14,1,70556500.0000,92.66,89.5833,75
mnist,lr,14,2,73130500.0000,92.66,89.5833,75
mnist,lr,14,3,72300750.0000,92.66,89.5833,75
mnist,lr,14,4,69831250.0000,92.66,89.5833,75
mnist,lr,14,5,72507750.0000,92.66,89.5833,75
mnist,lr,14,6,69810250.0000,92.66,89.5833,75
mnist,lr,14,7,71893250.0000,92.66,89.5833,75
mnist,lr,14,8,71062250.0000,92.66,89.5833,75
mnist,lr,14,9,71895000.0000,92.66,89.5833,75
mnist,lr,14,10,72727750.0000,92.66,89.5833,75
mnist,lr,16,1,70907000.0000,92.66,89.5833,75
mnist,lr,16,2,72848750.0000,92.66,89.5833,75
mnist,lr,16,3,72652000.0000,92.66,89.5833,75
mnist,lr,16,4,69761250.0000,92.66,89.5833,75
mnist,lr,16,5,72756250.0000,92.66,89.5833,75
mnist,lr,16,6,72988000.0000,92.66,89.5833,75
mnist,lr,16,7,70444000.0000,92.66,89.5833,75
mnist,lr,16,8,72784500.0000,92.66,89.5833,75
mnist,lr,16,9,71026000.0000,92.66,89.5833,75
mnist,lr,16,10,70451500.0000,92.66,89.5833,75
