dataset,model,threads,iteration,avg_latency_ms,train_acc_percent,test_acc_percent,fhe_acc_percent
mnist,mlp,1,1,4351447750.0000,90.38,93.75,100
mnist,mlp,1,2,4354843500.0000,90.38,93.75,100
mnist,mlp,1,3,4356688500.0000,90.38,93.75,100
mnist,mlp,1,4,4395780500.0000,90.38,93.75,100
mnist,mlp,1,5,4376017750.0000,90.38,93.75,100
mnist,mlp,1,6,4311443500.0000,90.38,93.75,100
mnist,mlp,1,7,4385122500.0000,90.38,93.75,100
mnist,mlp,1,8,4344836500.0000,90.38,93.75,100
mnist,mlp,1,9,4310910000.0000,90.38,93.75,100
mnist,mlp,1,10,4384296750.0000,90.38,93.75,100
mnist,mlp,2,1,2241034250.0000,90.38,93.75,100
mnist,mlp,2,2,2266331250.0000,90.38,93.75,100
mnist,mlp,2,3,2242198750.0000,90.38,93.75,100
mnist,mlp,2,4,2251646000.0000,90.38,93.75,100
mnist,mlp,2,5,2254822500.0000,90.38,93.75,100
mnist,mlp,2,6,2253532000.0000,90.38,93.75,100
mnist,mlp,2,7,2242088750.0000,90.38,93.75,100
mnist,mlp,2,8,2237534000.0000,90.38,93.75,100
mnist,mlp,2,9,2252177500.0000,90.38,93.75,100
mnist,mlp,2,10,2255434500.0000,90.38,93.75,100
mnist,mlp,4,1,1138243500.0000,90.38,93.75,100
mnist,mlp,4,2,1136415750.0000,90.38,93.75,100
mnist,mlp,4,3,1136010250.0000,90.38,93.75,100
mnist,mlp,4,4,1140702500.0000,90.38,93.75,100
mnist,mlp,4,5,1139241000.0000,90.38,93.75,100
mnist,mlp,4,6,1133018750.0000,90.38,93.75,100
mnist,mlp,4,7,1139543500.0000,90.38,93.75,100
mnist,mlp,4,8,1150032750.0000,90.38,93.75,100
mnist,mlp,4,9,1144037250.0000,90.38,93.75,100
mnist,mlp,4,10,1148402250.0000,90.38,93.75,100
mnist,mlp,6,1,793383000.0000,90.38,93.75,100
mnist,mlp,6,2,796299000.0000,90.38,93.75,100
mnist,mlp,6,3,792064000.0000,90.38,93.75,100
mnist,mlp,6,4,787848000.0000,90.38,93.75,100
mnist,mlp,6,5,788186750.0000,90.38,93.75,100
mnist,mlp,6,6,794041500.0000,90.38,93.75,100
mnist,mlp,6,7,790034500.0000,90.38,93.75,100
mnist,mlp,6,8,800078750.0000,90.38,93.75,100
mnist,mlp,6,9,795528000.0000,90.38,93.75,100
mnist,mlp,6,10,791095250.0000,90.38,93.75,100
mnist,mlp,8,1,592007250.0000,90.38,93.75,100
mnist,mlp,8,2,588431000.0000,90.38,93.75,100
mnist,mlp,8,3,582750500.0000,90.38,93.75,100
mnist,mlp,8,4,583730750.0000,90.38,93.75,100
mnist,mlp,8,5,593772750.0000,90.38,93.75,100
mnist,mlp,8,6,584048500.0000,90.38,93.75,100
mnist,mlp,8,7,586930250.0000,90.38,93.75,100
mnist,mlp,8,8,578996750.0000,90.38,93.75,100
mnist,mlp,8,9,586316500.0000,90.38,93.75,100
mnist,mlp,8,10,582541000.0000,90.38,93.75,100
mnist,mlp,10,1,523234000.0000,90.38,93.75,100
mnist,mlp,10,2,532628000.0000,90.38,93.75,100
mnist,mlp,10,3,517195000.0000,90.38,93.75,100
mnist,mlp,10,4,517519750.0000,90.38,93.75,100
mnist,mlp,10,5,511601500.0000,90.38,93.75,100
mnist,mlp,10,6,522577750.0000,90.38,93.75,100
mnist,mlp,10,7,522443000.0000,90.38,93.75,100
mnist,mlp,10,8,523688500.0000,90.38,93.75,100
mnist,mlp,10,9,522083500.0000,90.38,93.75,100
mnist,mlp,10,10,520295000.0000,90.38,93.75,100
mnist,mlp,12,1,450325500.0000,90.38,93.75,100
mnist,mlp,12,2,456460250.0000,90.38,93.75,100
mnist,mlp,12,3,450186750.0000,90.38,93.75,100
mnist,mlp,12,4,452913750.0000,90.38,93.75,100
mnist,mlp,12,5,464499000.0000,90.38,93.75,100
mnist,mlp,12,6,459792750.0000,90.38,93.75,100
mnist,mlp,12,7,455751250.0000,90.38,93.75,100
mnist,mlp,12,8,455567250.0000,90.38,93.75,100
mnist,mlp,12,9,457924250.0000,90.38,93.75,100
mnist,mlp,12,10,456553500.0000,90.38,93.75,100
mnist,mlp,14,1,391458500.0000,90.38,93.75,100
mnist,mlp,14,2,397909000.0000,90.38,93.75,100
mnist,mlp,14,3,396279250.0000,90.38,93.75,100
mnist,mlp,14,4,389470500.0000,90.38,93.75,100
mnist,mlp,14,5,396185000.0000,90.38,93.75,100
mnist,mlp,14,6,396809250.0000,90.38,93.75,100
mnist,mlp,14,7,393159000.0000,90.38,93.75,100
mnist,mlp,14,8,404508750.0000,90.38,93.75,100
mnist,mlp,14,9,398807000.0000,90.38,93.75,100
mnist,mlp,14,10,396073750.0000,90.38,93.75,100
mnist,mlp,16,1,336255250.0000,90.38,93.75,100
mnist,mlp,16,2,329800250.0000,90.38,93.75,100
mnist,mlp,16,3,331727000.0000,90.38,93.75,100
mnist,mlp,16,4,339109000.0000,90.38,93.75,100
mnist,mlp,16,5,335784250.0000,90.38,93.75,100
mnist,mlp,16,6,334034250.0000,90.38,93.75,100
mnist,mlp,16,7,337405000.0000,90.38,93.75,100
mnist,mlp,16,8,339837250.0000,90.38,93.75,100
mnist,mlp,16,9,336025000.0000,90.38,93.75,100
mnist,mlp,16,10,327075250.0000,90.38,93.75,100
