dataset,model,threads,iteration,avg_latency_ms,train_acc_percent,test_acc_percent,fhe_acc_percent
wdbc,lr,1,1,62546000.0000,100,100,100
wdbc,lr,1,2,63082500.0000,100,100,100
wdbc,lr,1,3,62394250.0000,100,100,100
wdbc,lr,1,4,62652500.0000,100,100,100
wdbc,lr,1,5,62437500.0000,100,100,100
wdbc,lr,1,6,63165250.0000,100,100,100
wdbc,lr,1,7,62611250.0000,100,100,100
wdbc,lr,1,8,63069750.0000,100,100,100
wdbc,lr,1,9,62385750.0000,100,100,100
wdbc,lr,1,10,62632500.0000,100,100,100
wdbc,lr,2,1,63566000.0000,100,100,100
wdbc,lr,2,2,63001000.0000,100,100,100
wdbc,lr,2,3,62975750.0000,100,100,100
wdbc,lr,2,4,64036250.0000,100,100,100
wdbc,lr,2,5,63918500.0000,100,100,100
wdbc,lr,2,6,62323000.0000,100,100,100
wdbc,lr,2,7,63704750.0000,100,100,100
wdbc,lr,2,8,63331000.0000,100,100,100
wdbc,lr,2,9,64087000.0000,100,100,100
wdbc,lr,2,10,63638250.0000,100,100,100
wdbc,lr,4,1,65324750.0000,100,100,100
wdbc,lr,4,2,64167500.0000,100,100,100
wdbc,lr,4,3,63357250.0000,100,100,100
wdbc,lr,4,4,63350750.0000,100,100,100
wdbc,lr,4,5,64024000.0000,100,100,100
wdbc,lr,4,6,63289000.0000,100,100,100
wdbc,lr,4,7,64366000.0000,100,100,100
wdbc,lr,4,8,63185750.0000,100,100,100
wdbc,lr,4,9,64567000.0000,100,100,100
wdbc,lr,4,10,63291250.0000,100,100,100
wdbc,lr,6,1,63959500.0000,100,100,100
wdbc,lr,6,2,64077250.0000,100,100,100
wdbc,lr,6,3,63371250.0000,100,100,100
wdbc,lr,6,4,63442250.0000,100,100,100
wdbc,lr,6,5,63327000.0000,100,100,100
wdbc,lr,6,6,64243000.0000,100,100,100
wdbc,lr,6,7,64343750.0000,100,100,100
wdbc,lr,6,8,63565750.0000,100,100,100
wdbc,lr,6,9,62568250.0000,100,100,100
wdbc,lr,6,10,64268500.0000,100,100,100
wdbc,lr,8,1,63253250.0000,100,100,100
wdbc,lr,8,2,63025750.0000,100,100,100
wdbc,lr,8,3,63111750.0000,100,100,100
wdbc,lr,8,4,63314500.0000,100,100,100
wdbc,lr,8,5,63239000.0000,100,100,100
wdbc,lr,8,6,63080000.0000,100,100,100
wdbc,lr,8,7,63548000.0000,100,100,100
wdbc,lr,8,8,63418000.0000,100,100,100
wdbc,lr,8,9,63679500.0000,100,100,100
wdbc,lr,8,10,63028750.0000,100,100,100
wdbc,lr,10,1,63465250.0000,100,100,100
wdbc,lr,10,2,64044750.0000,100,100,100
wdbc,lr,10,3,63236000.0000,100,100,100
wdbc,lr,10,4,62874500.0000,100,100,100
wdbc,lr,10,5,64120500.0000,100,100,100
wdbc,lr,10,6,63447500.0000,100,100,100
wdbc,lr,10,7,62794750.0000,100,100,100
wdbc,lr,10,8,64072750.0000,100,100,100
wdbc,lr,10,9,63141250.0000,100,100,100
wdbc,lr,10,10,64173750.0000,100,100,100
wdbc,lr,12,1,62987250.0000,100,100,100
wdbc,lr,12,2,64095000.0000,100,100,100
wdbc,lr,12,3,63601750.0000,100,100,100
wdbc,lr,12,4,63164750.0000,100,100,100
wdbc,lr,12,5,63678000.0000,100,100,100
wdbc,lr,12,6,62636500.0000,100,100,100
wdbc,lr,12,7,63686750.0000,100,100,100
wdbc,lr,12,8,64030750.0000,100,100,100
wdbc,lr,12,9,63385500.0000,100,100,100
wdbc,lr,12,10,63312750.0000,100,100,100
wdbc,lr,14,1,63178000.0000,100,100,100
wdbc,lr,14,2,64250250.0000,100,100,100
wdbc,lr,14,3,63756500.0000,100,100,100
wdbc,lr,14,4,64590250.0000,100,100,100
wdbc,lr,14,5,63746000.0000,100,100,100
wdbc,lr,14,6,64084000.0000,100,100,100
wdbc,lr,14,7,63555250.0000,100,100,100
wdbc,lr,14,8,63933250.0000,100,100,100
wdbc,lr,14,9,63185000.0000,100,100,100
wdbc,lr,14,10,63754500.0000,100,100,100
wdbc,lr,16,1,64216000.0000,100,100,100
wdbc,lr,16,2,63157750.0000,100,100,100
wdbc,lr,16,3,65036750.0000,100,100,100
wdbc,lr,16,4,62856250.0000,100,100,100
wdbc,lr,16,5,63564250.0000,100,100,100
wdbc,lr,16,6,63459000.0000,100,100,100
wdbc,lr,16,7,64247750.0000,100,100,100
wdbc,lr,16,8,64747000.0000,100,100,100
wdbc,lr,16,9,63637250.0000,100,100,100
wdbc,lr,16,10,62946000.0000,100,100,100
