dataset,model,threads,iteration,avg_latency_ms,train_acc_percent,test_acc_percent,fhe_acc_percent
wdbc,mlp,1,1,1029730000.0000,100,100,100
wdbc,mlp,1,2,1034369250.0000,100,100,100
wdbc,mlp,1,3,1031133250.0000,100,100,100
wdbc,mlp,1,4,1031683000.0000,100,100,100
wdbc,mlp,1,5,1029352750.0000,100,100,100
wdbc,mlp,1,6,1030517000.0000,100,100,100
wdbc,mlp,1,7,1028820500.0000,100,100,100
wdbc,mlp,1,8,1036046750.0000,100,100,100
wdbc,mlp,1,9,1034575000.0000,100,100,100
wdbc,mlp,1,10,1029546000.0000,100,100,100
wdbc,mlp,2,1,523145250.0000,100,100,100
wdbc,mlp,2,2,518184000.0000,100,100,100
wdbc,mlp,2,3,520712000.0000,100,100,100
wdbc,mlp,2,4,525543250.0000,100,100,100
wdbc,mlp,2,5,523765250.0000,100,100,100
wdbc,mlp,2,6,530832250.0000,100,100,100
wdbc,mlp,2,7,526024000.0000,100,100,100
wdbc,mlp,2,8,524252000.0000,100,100,100
wdbc,mlp,2,9,520506000.0000,100,100,100
wdbc,mlp,2,10,520200500.0000,100,100,100
wdbc,mlp,4,1,269315250.0000,100,100,100
wdbc,mlp,4,2,264623750.0000,100,100,100
wdbc,mlp,4,3,264615250.0000,100,100,100
wdbc,mlp,4,4,261574750.0000,100,100,100
wdbc,mlp,4,5,267406250.0000,100,100,100
wdbc,mlp,4,6,265772000.0000,100,100,100
wdbc,mlp,4,7,261824750.0000,100,100,100
wdbc,mlp,4,8,268987250.0000,100,100,100
wdbc,mlp,4,9,262569500.0000,100,100,100
wdbc,mlp,4,10,265640000.0000,100,100,100
wdbc,mlp,6,1,197807500.0000,100,100,100
wdbc,mlp,6,2,203160000.0000,100,100,100
wdbc,mlp,6,3,203487500.0000,100,100,100
wdbc,mlp,6,4,202342250.0000,100,100,100
wdbc,mlp,6,5,202473250.0000,100,100,100
wdbc,mlp,6,6,201949500.0000,100,100,100
wdbc,mlp,6,7,201687750.0000,100,100,100
wdbc,mlp,6,8,199753000.0000,100,100,100
wdbc,mlp,6,9,199741500.0000,100,100,100
wdbc,mlp,6,10,202923000.0000,100,100,100
wdbc,mlp,8,1,134928000.0000,100,100,100
wdbc,mlp,8,2,133584000.0000,100,100,100
wdbc,mlp,8,3,132926500.0000,100,100,100
wdbc,mlp,8,4,136318250.0000,100,100,100
wdbc,mlp,8,5,137468250.0000,100,100,100
wdbc,mlp,8,6,137407250.0000,100,100,100
wdbc,mlp,8,7,140115000.0000,100,100,100
wdbc,mlp,8,8,138330500.0000,100,100,100
wdbc,mlp,8,9,140005000.0000,100,100,100
wdbc,mlp,8,10,144035250.0000,100,100,100
wdbc,mlp,10,1,136591500.0000,100,100,100
wdbc,mlp,10,2,138029750.0000,100,100,100
wdbc,mlp,10,3,137514750.0000,100,100,100
wdbc,mlp,10,4,138963000.0000,100,100,100
wdbc,mlp,10,5,136794750.0000,100,100,100
wdbc,mlp,10,6,137995250.0000,100,100,100
wdbc,mlp,10,7,138916750.0000,100,100,100
wdbc,mlp,10,8,137707500.0000,100,100,100
wdbc,mlp,10,9,138990500.0000,100,100,100
wdbc,mlp,10,10,137038250.0000,100,100,100
wdbc,mlp,12,1,139147000.0000,100,100,100
wdbc,mlp,12,2,137092500.0000,100,100,100
wdbc,mlp,12,3,139190750.0000,100,100,100
wdbc,mlp,12,4,138985750.0000,100,100,100
wdbc,mlp,12,5,140175000.0000,100,100,100
wdbc,mlp,12,6,141595250.0000,100,100,100
wdbc,mlp,12,7,139523000.0000,100,100,100
wdbc,mlp,12,8,139236000.0000,100,100,100
wdbc,mlp,12,9,140289750.0000,100,100,100
wdbc,mlp,12,10,139264750.0000,100,100,100
wdbc,mlp,14,1,141103500.0000,100,100,100
wdbc,mlp,14,2,139226500.0000,100,100,100
wdbc,mlp,14,3,139890000.0000,100,100,100
wdbc,mlp,14,4,141494000.0000,100,100,100
wdbc,mlp,14,5,138910000.0000,100,100,100
wdbc,mlp,14,6,141905750.0000,100,100,100
wdbc,mlp,14,7,140942000.0000,100,100,100
wdbc,mlp,14,8,139776000.0000,100,100,100
wdbc,mlp,14,9,141030500.0000,100,100,100
wdbc,mlp,14,10,139823750.0000,100,100,100
wdbc,mlp,16,1,76250750.0000,100,100,100
wdbc,mlp,16,2,76751000.0000,100,100,100
wdbc,mlp,16,3,75640000.0000,100,100,100
wdbc,mlp,16,4,75509500.0000,100,100,100
wdbc,mlp,16,5,76765750.0000,100,100,100
wdbc,mlp,16,6,76002250.0000,100,100,100
wdbc,mlp,16,7,76948000.0000,100,100,100
wdbc,mlp,16,8,76529000.0000,100,100,100
wdbc,mlp,16,9,75988500.0000,100,100,100
wdbc,mlp,16,10,76125750.0000,100,100,100
