dataset,model,threads,iteration,avg_latency_ms,train_acc_percent,test_acc_percent,fhe_acc_percent
iris,lr,1,1,6735.9667,97.5,100,100
iris,lr,1,2,6742.2667,97.5,100,100
iris,lr,1,3,6731.0333,97.5,100,100
iris,lr,1,4,6747.1000,97.5,100,100
iris,lr,1,5,6738.8667,97.5,100,100
iris,lr,2,1,4588.7333,97.5,100,100
iris,lr,2,2,4726.1000,97.5,100,100
iris,lr,2,3,4671.2667,97.5,100,100
iris,lr,2,4,4584.5333,97.5,100,100
iris,lr,2,5,4580.4667,97.5,100,100
iris,lr,4,1,2335.4667,97.5,100,100
iris,lr,4,2,2308.2333,97.5,100,100
iris,lr,4,3,2309.9000,97.5,100,100
iris,lr,4,4,2349.1333,97.5,100,100
iris,lr,4,5,2314.1333,97.5,100,100
iris,lr,6,1,2350.5667,97.5,100,100
iris,lr,6,2,2307.8333,97.5,100,100
iris,lr,6,3,2315.4000,97.5,100,100
iris,lr,6,4,2318.7000,97.5,100,100
iris,lr,6,5,2404.9333,97.5,100,100
iris,lr,8,1,2322.4000,97.5,100,100
iris,lr,8,2,2316.2000,97.5,100,100
iris,lr,8,3,2323.7000,97.5,100,100
iris,lr,8,4,2360.5000,97.5,100,100
iris,lr,8,5,2312.8333,97.5,100,100
iris,lr,10,1,2371.4667,97.5,100,100
iris,lr,10,2,2404.5000,97.5,100,100
iris,lr,10,3,2379.3333,97.5,100,100
iris,lr,10,4,2333.5333,97.5,100,100
iris,lr,10,5,2306.0333,97.5,100,100
iris,lr,12,1,2403.2333,97.5,100,100
iris,lr,12,2,2308.0000,97.5,100,100
iris,lr,12,3,2418.9333,97.5,100,100
iris,lr,12,4,2379.1333,97.5,100,100
iris,lr,12,5,2349.8667,97.5,100,100
iris,lr,14,1,2318.2667,97.5,100,100
iris,lr,14,2,2387.8667,97.5,100,100
iris,lr,14,3,2318.6333,97.5,100,100
iris,lr,14,4,2337.1333,97.5,100,100
iris,lr,14,5,2316.6667,97.5,100,100
iris,lr,16,1,2328.6333,97.5,100,100
iris,lr,16,2,2431.0667,97.5,100,100
iris,lr,16,3,2412.0000,97.5,100,100
iris,lr,16,4,2307.9000,97.5,100,100
iris,lr,16,5,2409.6333,97.5,100,100
