dataset,model,threads,iteration,avg_latency_ms,train_acc_percent,test_acc_percent,fhe_acc_percent
iris,mlp,1,1,23156.9333,97.5,100,96.6667
iris,mlp,1,2,23089.1667,97.5,100,96.6667
iris,mlp,1,3,23169.3333,97.5,100,96.6667
iris,mlp,1,4,23267.8333,97.5,100,96.6667
iris,mlp,1,5,23764.4000,97.5,100,96.6667
iris,mlp,2,1,11873.9667,97.5,100,96.6667
iris,mlp,2,2,12015.8000,97.5,100,96.6667
iris,mlp,2,3,11828.1667,97.5,100,96.6667
iris,mlp,2,4,11825.0667,97.5,100,96.6667
iris,mlp,2,5,11889.0000,97.5,100,96.6667
iris,mlp,4,1,7199.5333,97.5,100,96.6667
iris,mlp,4,2,7181.3000,97.5,100,96.6667
iris,mlp,4,3,7215.6667,97.5,100,96.6667
iris,mlp,4,4,7306.3000,97.5,100,96.6667
iris,mlp,4,5,7318.5000,97.5,100,96.6667
iris,mlp,6,1,4932.5333,97.5,100,96.6667
iris,mlp,6,2,4900.0667,97.5,100,96.6667
iris,mlp,6,3,4784.3667,97.5,100,96.6667
iris,mlp,6,4,4923.8000,97.5,100,96.6667
iris,mlp,6,5,4873.7667,97.5,100,96.6667
iris,mlp,8,1,5007.1333,97.5,100,96.6667
iris,mlp,8,2,4837.8333,97.5,100,96.6667
iris,mlp,8,3,4958.6667,97.5,100,96.6667
iris,mlp,8,4,4897.0333,97.5,100,96.6667
iris,mlp,8,5,4793.6000,97.5,100,96.6667
iris,mlp,10,1,2532.5333,97.5,100,96.6667
iris,mlp,10,2,2543.9333,97.5,100,96.6667
iris,mlp,10,3,2533.4000,97.5,100,96.6667
iris,mlp,10,4,2539.6000,97.5,100,96.6667
iris,mlp,10,5,2575.7667,97.5,100,96.6667
iris,mlp,12,1,2523.9000,97.5,100,96.6667
iris,mlp,12,2,2578.7667,97.5,100,96.6667
iris,mlp,12,3,2552.1667,97.5,100,96.6667
iris,mlp,12,4,2533.8000,97.5,100,96.6667
iris,mlp,12,5,2553.6667,97.5,100,96.6667
iris,mlp,14,1,2502.5333,97.5,100,96.6667
iris,mlp,14,2,2505.1667,97.5,100,96.6667
iris,mlp,14,3,2526.9000,97.5,100,96.6667
iris,mlp,14,4,2531.7333,97.5,100,96.6667
iris,mlp,14,5,2552.5333,97.5,100,96.6667
iris,mlp,16,1,2541.9000,97.5,100,96.6667
iris,mlp,16,2,2585.1000,97.5,100,96.6667
iris,mlp,16,3,2495.2333,97.5,100,96.6667
iris,mlp,16,4,2478.3667,97.5,100,96.6667
iris,mlp,16,5,2693.5000,97.5,100,96.6667
