dataset,model,threads,iteration,avg_latency_ms,train_acc_percent,test_acc_percent,fhe_acc_percent
mnist,lr,1,1,45456.8125,92.66,89.5833,89.5833
mnist,lr,1,2,45443.9375,92.66,89.5833,89.5833
mnist,lr,1,3,45695.4792,92.66,89.5833,89.5833
mnist,lr,1,4,45576.1875,92.66,89.5833,89.5833
mnist,lr,1,5,45702.2708,92.66,89.5833,89.5833
mnist,lr,2,1,23182.5417,92.66,89.5833,89.5833
mnist,lr,2,2,23036.7083,92.66,89.5833,89.5833
mnist,lr,2,3,23023.5625,92.66,89.5833,89.5833
mnist,lr,2,4,22783.8125,92.66,89.5833,89.5833
mnist,lr,2,5,23162.0625,92.66,89.5833,89.5833
mnist,lr,4,1,14105.9583,92.66,89.5833,89.5833
mnist,lr,4,2,14004.6042,92.66,89.5833,89.5833
mnist,lr,4,3,14033.4167,92.66,89.5833,89.5833
mnist,lr,4,4,14106.0625,92.66,89.5833,89.5833
mnist,lr,4,5,14169.4167,92.66,89.5833,89.5833
mnist,lr,6,1,9477.0208,92.66,89.5833,89.5833
mnist,lr,6,2,9518.0833,92.66,89.5833,89.5833
mnist,lr,6,3,9470.0833,92.66,89.5833,89.5833
mnist,lr,6,4,9502.6458,92.66,89.5833,89.5833
mnist,lr,6,5,9480.1458,92.66,89.5833,89.5833
mnist,lr,8,1,9427.5417,92.66,89.5833,89.5833
mnist,lr,8,2,9448.5417,92.66,89.5833,89.5833
mnist,lr,8,3,9487.3750,92.66,89.5833,89.5833
mnist,lr,8,4,9548.4167,92.66,89.5833,89.5833
mnist,lr,8,5,9544.6458,92.66,89.5833,89.5833
mnist,lr,10,1,4835.2292,92.66,89.5833,89.5833
mnist,lr,10,2,4824.7083,92.66,89.5833,89.5833
mnist,lr,10,3,4884.7708,92.66,89.5833,89.5833
mnist,lr,10,4,4872.2917,92.66,89.5833,89.5833
mnist,lr,10,5,4801.8333,92.66,89.5833,89.5833
mnist,lr,12,1,4888.3958,92.66,89.5833,89.5833
mnist,lr,12,2,4793.6458,92.66,89.5833,89.5833
mnist,lr,12,3,4914.4167,92.66,89.5833,89.5833
mnist,lr,12,4,4811.1875,92.66,89.5833,89.5833
mnist,lr,12,5,4838.2708,92.66,89.5833,89.5833
mnist,lr,14,1,4905.2917,92.66,89.5833,89.5833
mnist,lr,14,2,4942.3750,92.66,89.5833,89.5833
mnist,lr,14,3,4910.5833,92.66,89.5833,89.5833
mnist,lr,14,4,4970.5833,92.66,89.5833,89.5833
mnist,lr,14,5,4791.0625,92.66,89.5833,89.5833
mnist,lr,16,1,5027.3333,92.66,89.5833,89.5833
mnist,lr,16,2,5041.6458,92.66,89.5833,89.5833
mnist,lr,16,3,4845.3125,92.66,89.5833,89.5833
mnist,lr,16,4,4898.8750,92.66,89.5833,89.5833
mnist,lr,16,5,4941.4583,92.66,89.5833,89.5833
