dataset,model,threads,iteration,avg_latency_ms,train_acc_percent,test_acc_percent,fhe_acc_percent
mnist,mlp,1,1,302411.4375,90.38,93.75,83.3333
mnist,mlp,1,2,302113.5208,90.38,93.75,83.3333
mnist,mlp,1,3,301433.7708,90.38,93.75,83.3333
mnist,mlp,1,4,300167.2708,90.38,93.75,83.3333
mnist,mlp,1,5,302753.4792,90.38,93.75,83.3333
mnist,mlp,2,1,153779.4583,90.38,93.75,83.3333
mnist,mlp,2,2,153972.4792,90.38,93.75,83.3333
mnist,mlp,2,3,152398.4792,90.38,93.75,83.3333
mnist,mlp,2,4,153166.2917,90.38,93.75,83.3333
mnist,mlp,2,5,153347.4583,90.38,93.75,83.3333
mnist,mlp,4,1,77903.4583,90.38,93.75,83.3333
mnist,mlp,4,2,77834.9792,90.38,93.75,83.3333
mnist,mlp,4,3,77356.6875,90.38,93.75,83.3333
mnist,mlp,4,4,77968.2292,90.38,93.75,83.3333
mnist,mlp,4,5,77686.9792,90.38,93.75,83.3333
mnist,mlp,6,1,54170.2083,90.38,93.75,83.3333
mnist,mlp,6,2,53842.8333,90.38,93.75,83.3333
mnist,mlp,6,3,54113.8125,90.38,93.75,83.3333
mnist,mlp,6,4,54108.4792,90.38,93.75,83.3333
mnist,mlp,6,5,54040.5000,90.38,93.75,83.3333
mnist,mlp,8,1,39541.0833,90.38,93.75,83.3333
mnist,mlp,8,2,39250.1458,90.38,93.75,83.3333
mnist,mlp,8,3,39963.0208,90.38,93.75,83.3333
mnist,mlp,8,4,39347.7083,90.38,93.75,83.3333
mnist,mlp,8,5,39882.2917,90.38,93.75,83.3333
mnist,mlp,10,1,35249.1667,90.38,93.75,83.3333
mnist,mlp,10,2,35363.7292,90.38,93.75,83.3333
mnist,mlp,10,3,34989.0000,90.38,93.75,83.3333
mnist,mlp,10,4,35673.0833,90.38,93.75,83.3333
mnist,mlp,10,5,34965.5833,90.38,93.75,83.3333
mnist,mlp,12,1,30774.5208,90.38,93.75,83.3333
mnist,mlp,12,2,31123.8333,90.38,93.75,83.3333
mnist,mlp,12,3,31432.2083,90.38,93.75,83.3333
mnist,mlp,12,4,30583.1667,90.38,93.75,83.3333
mnist,mlp,12,5,31325.1458,90.38,93.75,83.3333
mnist,mlp,14,1,26654.7708,90.38,93.75,83.3333
mnist,mlp,14,2,26692.0625,90.38,93.75,83.3333
mnist,mlp,14,3,26829.5625,90.38,93.75,83.3333
mnist,mlp,14,4,26702.9167,90.38,93.75,83.3333
mnist,mlp,14,5,26653.2500,90.38,93.75,83.3333
mnist,mlp,16,1,23302.3125,90.38,93.75,83.3333
mnist,mlp,16,2,21968.9375,90.38,93.75,83.3333
mnist,mlp,16,3,22860.0625,90.38,93.75,83.3333
mnist,mlp,16,4,22266.3542,90.38,93.75,83.3333
mnist,mlp,16,5,22648.8542,90.38,93.75,83.3333
