dataset,model,threads,iteration,avg_latency_ms,train_acc_percent,test_acc_percent,fhe_acc_percent
wdbc,lr,1,1,1233.9035,100,100,100
wdbc,lr,1,2,1223.2193,100,100,100
wdbc,lr,1,3,1226.1228,100,100,100
wdbc,lr,1,4,1225.6754,100,100,100
wdbc,lr,1,5,1230.4737,100,100,100
wdbc,lr,2,1,1228.5439,100,100,100
wdbc,lr,2,2,1224.7632,100,100,100
wdbc,lr,2,3,1248.0439,100,100,100
wdbc,lr,2,4,1222.7632,100,100,100
wdbc,lr,2,5,1247.6404,100,100,100
wdbc,lr,4,1,1235.1667,100,100,100
wdbc,lr,4,2,1230.0263,100,100,100
wdbc,lr,4,3,1241.8246,100,100,100
wdbc,lr,4,4,1244.9211,100,100,100
wdbc,lr,4,5,1238.1404,100,100,100
wdbc,lr,6,1,1250.4737,100,100,100
wdbc,lr,6,2,1237.4825,100,100,100
wdbc,lr,6,3,1252.5526,100,100,100
wdbc,lr,6,4,1249.2456,100,100,100
wdbc,lr,6,5,1249.5965,100,100,100
wdbc,lr,8,1,1247.0789,100,100,100
wdbc,lr,8,2,1243.1053,100,100,100
wdbc,lr,8,3,1242.0351,100,100,100
wdbc,lr,8,4,1254.5965,100,100,100
wdbc,lr,8,5,1242.2807,100,100,100
wdbc,lr,10,1,1241.0702,100,100,100
wdbc,lr,10,2,1238.8772,100,100,100
wdbc,lr,10,3,1254.0702,100,100,100
wdbc,lr,10,4,1254.7193,100,100,100
wdbc,lr,10,5,1252.4123,100,100,100
wdbc,lr,12,1,1246.8509,100,100,100
wdbc,lr,12,2,1257.2895,100,100,100
wdbc,lr,12,3,1259.0877,100,100,100
wdbc,lr,12,4,1263.3421,100,100,100
wdbc,lr,12,5,1248.4737,100,100,100
wdbc,lr,14,1,1238.1228,100,100,100
wdbc,lr,14,2,1269.7544,100,100,100
wdbc,lr,14,3,1247.9474,100,100,100
wdbc,lr,14,4,1240.9474,100,100,100
wdbc,lr,14,5,1264.4298,100,100,100
wdbc,lr,16,1,1259.4298,100,100,100
wdbc,lr,16,2,1238.9035,100,100,100
wdbc,lr,16,3,1245.2719,100,100,100
wdbc,lr,16,4,1236.0439,100,100,100
wdbc,lr,16,5,1256.3860,100,100,100
