dataset,model,threads,iteration,avg_latency_ms,train_acc_percent,test_acc_percent,fhe_acc_percent
wdbc,mlp,1,1,20024.2632,100,100,100
wdbc,mlp,1,2,19927.5526,100,100,100
wdbc,mlp,1,3,20018.7456,100,100,100
wdbc,mlp,1,4,19935.8421,100,100,100
wdbc,mlp,1,5,19992.2456,100,100,100
wdbc,mlp,2,1,10117.8772,100,100,100
wdbc,mlp,2,2,10137.2368,100,100,100
wdbc,mlp,2,3,10129.0965,100,100,100
wdbc,mlp,2,4,10138.2193,100,100,100
wdbc,mlp,2,5,10210.4035,100,100,100
wdbc,mlp,4,1,5142.6842,100,100,100
wdbc,mlp,4,2,5100.3772,100,100,100
wdbc,mlp,4,3,5045.4825,100,100,100
wdbc,mlp,4,4,5126.2632,100,100,100
wdbc,mlp,4,5,5132.7018,100,100,100
wdbc,mlp,6,1,3825.8509,100,100,100
wdbc,mlp,6,2,3876.2632,100,100,100
wdbc,mlp,6,3,3895.1754,100,100,100
wdbc,mlp,6,4,3915.2719,100,100,100
wdbc,mlp,6,5,3889.7895,100,100,100
wdbc,mlp,8,1,2646.9123,100,100,100
wdbc,mlp,8,2,2602.3070,100,100,100
wdbc,mlp,8,3,2635.3246,100,100,100
wdbc,mlp,8,4,2664.3947,100,100,100
wdbc,mlp,8,5,2602.7281,100,100,100
wdbc,mlp,10,1,2647.7105,100,100,100
wdbc,mlp,10,2,2654.4035,100,100,100
wdbc,mlp,10,3,2645.6228,100,100,100
wdbc,mlp,10,4,2637.9737,100,100,100
wdbc,mlp,10,5,2630.0526,100,100,100
wdbc,mlp,12,1,2668.3684,100,100,100
wdbc,mlp,12,2,2691.2719,100,100,100
wdbc,mlp,12,3,2609.5000,100,100,100
wdbc,mlp,12,4,2655.6667,100,100,100
wdbc,mlp,12,5,2647.8333,100,100,100
wdbc,mlp,14,1,2731.2895,100,100,100
wdbc,mlp,14,2,2716.9123,100,100,100
wdbc,mlp,14,3,2723.1930,100,100,100
wdbc,mlp,14,4,2689.4912,100,100,100
wdbc,mlp,14,5,2704.6930,100,100,100
wdbc,mlp,16,1,1463.6404,100,100,100
wdbc,mlp,16,2,1424.6316,100,100,100
wdbc,mlp,16,3,1468.9912,100,100,100
wdbc,mlp,16,4,1474.0351,100,100,100
wdbc,mlp,16,5,1449.6140,100,100,100
