dataset,model,threads,iteration,avg_latency_ms,train_acc_percent,test_acc_percent,fhe_acc_percent
iris,lr,1,1,307.8667,97.5,100,100
iris,lr,1,2,307.5000,97.5,100,100
iris,lr,1,3,273.6000,97.5,100,100
iris,lr,1,4,313.2333,97.5,100,100
iris,lr,1,5,290.3333,97.5,100,100
iris,lr,1,6,303.2333,97.5,100,100
iris,lr,1,7,304.0333,97.5,100,100
iris,lr,1,8,305.6667,97.5,100,100
iris,lr,1,9,274.4667,97.5,100,100
iris,lr,1,10,294.8333,97.5,100,100
iris,lr,2,1,237.9000,97.5,100,100
iris,lr,2,2,244.0667,97.5,100,100
iris,lr,2,3,250.3333,97.5,100,100
iris,lr,2,4,243.7000,97.5,100,100
iris,lr,2,5,245.9000,97.5,100,100
iris,lr,2,6,251.1333,97.5,100,100
iris,lr,2,7,227.2000,97.5,100,100
iris,lr,2,8,240.7000,97.5,100,100
iris,lr,2,9,253.3667,97.5,100,100
iris,lr,2,10,243.6667,97.5,100,100
iris,lr,4,1,202.6000,97.5,100,100
iris,lr,4,2,239.9000,97.5,100,100
iris,lr,4,3,222.7333,97.5,100,100
iris,lr,4,4,212.7000,97.5,100,100
iris,lr,4,5,194.9000,97.5,100,100
iris,lr,4,6,212.7333,97.5,100,100
iris,lr,4,7,211.3667,97.5,100,100
iris,lr,4,8,254.3667,97.5,100,100
iris,lr,4,9,215.8667,97.5,100,100
iris,lr,4,10,218.0333,97.5,100,100
iris,lr,6,1,237.6333,97.5,100,100
iris,lr,6,2,219.7667,97.5,100,100
iris,lr,6,3,203.5333,97.5,100,100
iris,lr,6,4,215.0667,97.5,100,100
iris,lr,6,5,255.8333,97.5,100,100
iris,lr,6,6,256.1000,97.5,100,100
iris,lr,6,7,207.3000,97.5,100,100
iris,lr,6,8,235.4000,97.5,100,100
iris,lr,6,9,257.8333,97.5,100,100
iris,lr,6,10,212.7333,97.5,100,100
iris,lr,8,1,240.6667,97.5,100,100
iris,lr,8,2,211.3667,97.5,100,100
iris,lr,8,3,220.2000,97.5,100,100
iris,lr,8,4,252.0667,97.5,100,100
iris,lr,8,5,214.2000,97.5,100,100
iris,lr,8,6,218.3000,97.5,100,100
iris,lr,8,7,211.9000,97.5,100,100
iris,lr,8,8,220.9000,97.5,100,100
iris,lr,8,9,240.7333,97.5,100,100
iris,lr,8,10,225.2667,97.5,100,100
iris,lr,10,1,222.7000,97.5,100,100
iris,lr,10,2,247.1000,97.5,100,100
iris,lr,10,3,221.3333,97.5,100,100
iris,lr,10,4,226.1667,97.5,100,100
iris,lr,10,5,247.9000,97.5,100,100
iris,lr,10,6,217.9667,97.5,100,100
iris,lr,10,7,229.5000,97.5,100,100
iris,lr,10,8,243.6333,97.5,100,100
iris,lr,10,9,204.9000,97.5,100,100
iris,lr,10,10,232.8000,97.5,100,100
iris,lr,12,1,240.0000,97.5,100,100
iris,lr,12,2,221.4000,97.5,100,100
iris,lr,12,3,216.7000,97.5,100,100
iris,lr,12,4,252.5000,97.5,100,100
iris,lr,12,5,213.7333,97.5,100,100
iris,lr,12,6,203.1333,97.5,100,100
iris,lr,12,7,222.9667,97.5,100,100
iris,lr,12,8,224.4667,97.5,100,100
iris,lr,12,9,205.5667,97.5,100,100
iris,lr,12,10,221.5667,97.5,100,100
iris,lr,14,1,249.9667,97.5,100,100
iris,lr,14,2,218.3000,97.5,100,100
iris,lr,14,3,228.6333,97.5,100,100
iris,lr,14,4,215.3667,97.5,100,100
iris,lr,14,5,192.4000,97.5,100,100
iris,lr,14,6,220.6333,97.5,100,100
iris,lr,14,7,243.2667,97.5,100,100
iris,lr,14,8,217.0333,97.5,100,100
iris,lr,14,9,216.4333,97.5,100,100
iris,lr,14,10,220.3333,97.5,100,100
iris,lr,16,1,216.7333,97.5,100,100
iris,lr,16,2,217.0000,97.5,100,100
iris,lr,16,3,218.4000,97.5,100,100
iris,lr,16,4,208.1333,97.5,100,100
iris,lr,16,5,198.0667,97.5,100,100
iris,lr,16,6,213.2000,97.5,100,100
iris,lr,16,7,246.6333,97.5,100,100
iris,lr,16,8,242.3333,97.5,100,100
iris,lr,16,9,220.4000,97.5,100,100
iris,lr,16,10,212.6333,97.5,100,100
