dataset,model,threads,iteration,avg_latency_ms,train_acc_percent,test_acc_percent,fhe_acc_percent
iris,mlp,1,1,1734.4333,97.5,100,80
iris,mlp,1,2,1750.6667,97.5,100,80
iris,mlp,1,3,1797.6333,97.5,100,80
iris,mlp,1,4,1779.9667,97.5,100,80
iris,mlp,1,5,1832.4667,97.5,100,80
iris,mlp,1,6,1909.9333,97.5,100,80
iris,mlp,1,7,1746.9667,97.5,100,80
iris,mlp,1,8,1894.9667,97.5,100,80
iris,mlp,1,9,1781.0667,97.5,100,80
iris,mlp,1,10,1966.9000,97.5,100,80
iris,mlp,2,1,1194.1000,97.5,100,80
iris,mlp,2,2,1233.5667,97.5,100,80
iris,mlp,2,3,1199.0333,97.5,100,80
iris,mlp,2,4,1257.2000,97.5,100,80
iris,mlp,2,5,1219.5000,97.5,100,80
iris,mlp,2,6,1218.8333,97.5,100,80
iris,mlp,2,7,1223.5000,97.5,100,80
iris,mlp,2,8,1226.6333,97.5,100,80
iris,mlp,2,9,1161.8667,97.5,100,80
iris,mlp,2,10,1241.3000,97.5,100,80
iris,mlp,4,1,1317.5333,97.5,100,80
iris,mlp,4,2,1270.3333,97.5,100,80
iris,mlp,4,3,1280.7667,97.5,100,80
iris,mlp,4,4,1300.1667,97.5,100,80
iris,mlp,4,5,1244.5000,97.5,100,80
iris,mlp,4,6,1302.7000,97.5,100,80
iris,mlp,4,7,1316.9667,97.5,100,80
iris,mlp,4,8,1322.8000,97.5,100,80
iris,mlp,4,9,1235.2000,97.5,100,80
iris,mlp,4,10,1254.5000,97.5,100,80
iris,mlp,6,1,1264.9000,97.5,100,80
iris,mlp,6,2,1200.3667,97.5,100,80
iris,mlp,6,3,1237.0000,97.5,100,80
iris,mlp,6,4,1231.4000,97.5,100,80
iris,mlp,6,5,1209.8667,97.5,100,80
iris,mlp,6,6,1247.1667,97.5,100,80
iris,mlp,6,7,1229.7000,97.5,100,80
iris,mlp,6,8,1162.6333,97.5,100,80
iris,mlp,6,9,1184.7000,97.5,100,80
iris,mlp,6,10,1243.7667,97.5,100,80
iris,mlp,8,1,1183.1667,97.5,100,80
iris,mlp,8,2,1227.4667,97.5,100,80
iris,mlp,8,3,1186.9333,97.5,100,80
iris,mlp,8,4,1140.8000,97.5,100,80
iris,mlp,8,5,1231.1667,97.5,100,80
iris,mlp,8,6,1199.2000,97.5,100,80
iris,mlp,8,7,1220.8333,97.5,100,80
iris,mlp,8,8,1199.0667,97.5,100,80
iris,mlp,8,9,1180.3000,97.5,100,80
iris,mlp,8,10,1151.5000,97.5,100,80
iris,mlp,10,1,1148.4000,97.5,100,80
iris,mlp,10,2,1186.1000,97.5,100,80
iris,mlp,10,3,1214.8000,97.5,100,80
iris,mlp,10,4,1158.8333,97.5,100,80
iris,mlp,10,5,1161.5667,97.5,100,80
iris,mlp,10,6,1118.7333,97.5,100,80
iris,mlp,10,7,1181.4667,97.5,100,80
iris,mlp,10,8,1146.6000,97.5,100,80
iris,mlp,10,9,1149.6667,97.5,100,80
iris,mlp,10,10,1163.4000,97.5,100,80
iris,mlp,12,1,1158.6333,97.5,100,80
iris,mlp,12,2,1155.9667,97.5,100,80
iris,mlp,12,3,1176.1667,97.5,100,80
iris,mlp,12,4,1181.3000,97.5,100,80
iris,mlp,12,5,1185.1333,97.5,100,80
iris,mlp,12,6,1177.0000,97.5,100,80
iris,mlp,12,7,1167.9000,97.5,100,80
iris,mlp,12,8,1156.3000,97.5,100,80
iris,mlp,12,9,1141.7000,97.5,100,80
iris,mlp,12,10,1199.3667,97.5,100,80
iris,mlp,14,1,1142.9333,97.5,100,80
iris,mlp,14,2,1176.5000,97.5,100,80
iris,mlp,14,3,1159.4333,97.5,100,80
iris,mlp,14,4,1166.6333,97.5,100,80
iris,mlp,14,5,1138.0000,97.5,100,80
iris,mlp,14,6,1194.7667,97.5,100,80
iris,mlp,14,7,1157.0000,97.5,100,80
iris,mlp,14,8,1184.6333,97.5,100,80
iris,mlp,14,9,1178.6000,97.5,100,80
iris,mlp,14,10,1135.2333,97.5,100,80
iris,mlp,16,1,1186.8667,97.5,100,80
iris,mlp,16,2,1130.6000,97.5,100,80
iris,mlp,16,3,1180.7667,97.5,100,80
iris,mlp,16,4,1127.5333,97.5,100,80
iris,mlp,16,5,1165.6667,97.5,100,80
iris,mlp,16,6,1205.7000,97.5,100,80
iris,mlp,16,7,1127.1667,97.5,100,80
iris,mlp,16,8,1139.0667,97.5,100,80
iris,mlp,16,9,1146.8000,97.5,100,80
iris,mlp,16,10,1171.2000,97.5,100,80
