dataset,model,threads,iteration,avg_latency_ms,train_acc_percent,test_acc_percent,fhe_acc_percent
mnist,lr,1,1,2850.1042,92.66,89.5833,89.5833
mnist,lr,1,2,2859.0000,92.66,89.5833,89.5833
mnist,lr,1,3,2903.6875,92.66,89.5833,89.5833
mnist,lr,1,4,2657.8750,92.66,89.5833,89.5833
mnist,lr,1,5,2799.6667,92.66,89.5833,89.5833
mnist,lr,1,6,2854.0417,92.66,89.5833,89.5833
mnist,lr,1,7,2889.8750,92.66,89.5833,89.5833
mnist,lr,1,8,2820.9583,92.66,89.5833,89.5833
mnist,lr,1,9,2782.3333,92.66,89.5833,89.5833
mnist,lr,1,10,2771.7500,92.66,89.5833,89.5833
mnist,lr,2,1,1702.0833,92.66,89.5833,89.5833
mnist,lr,2,2,1666.9167,92.66,89.5833,89.5833
mnist,lr,2,3,1613.3958,92.66,89.5833,89.5833
mnist,lr,2,4,1582.2500,92.66,89.5833,89.5833
mnist,lr,2,5,1543.5833,92.66,89.5833,89.5833
mnist,lr,2,6,1635.8750,92.66,89.5833,89.5833
mnist,lr,2,7,1822.1667,92.66,89.5833,89.5833
mnist,lr,2,8,1694.7500,92.66,89.5833,89.5833
mnist,lr,2,9,1638.5000,92.66,89.5833,89.5833
mnist,lr,2,10,1648.2917,92.66,89.5833,89.5833
mnist,lr,4,1,1437.4167,92.66,89.5833,89.5833
mnist,lr,4,2,1353.7292,92.66,89.5833,89.5833
mnist,lr,4,3,1432.9167,92.66,89.5833,89.5833
mnist,lr,4,4,1409.6458,92.66,89.5833,89.5833
mnist,lr,4,5,1412.5625,92.66,89.5833,89.5833
mnist,lr,4,6,1415.2708,92.66,89.5833,89.5833
mnist,lr,4,7,1403.4167,92.66,89.5833,89.5833
mnist,lr,4,8,1445.6250,92.66,89.5833,89.5833
mnist,lr,4,9,1408.3750,92.66,89.5833,89.5833
mnist,lr,4,10,1366.7708,92.66,89.5833,89.5833
mnist,lr,6,1,1530.7083,92.66,89.5833,89.5833
mnist,lr,6,2,1483.0833,92.66,89.5833,89.5833
mnist,lr,6,3,1626.2083,92.66,89.5833,89.5833
mnist,lr,6,4,1575.3958,92.66,89.5833,89.5833
mnist,lr,6,5,1532.3542,92.66,89.5833,89.5833
mnist,lr,6,6,1625.0000,92.66,89.5833,89.5833
mnist,lr,6,7,1601.9583,92.66,89.5833,89.5833
mnist,lr,6,8,1501.6667,92.66,89.5833,89.5833
mnist,lr,6,9,1510.9792,92.66,89.5833,89.5833
mnist,lr,6,10,1484.6667,92.66,89.5833,89.5833
mnist,lr,8,1,1498.2917,92.66,89.5833,89.5833
mnist,lr,8,2,1478.1458,92.66,89.5833,89.5833
mnist,lr,8,3,1512.6458,92.66,89.5833,89.5833
mnist,lr,8,4,1419.5625,92.66,89.5833,89.5833
mnist,lr,8,5,1476.3542,92.66,89.5833,89.5833
mnist,lr,8,6,1512.6667,92.66,89.5833,89.5833
mnist,lr,8,7,1544.6250,92.66,89.5833,89.5833
mnist,lr,8,8,1488.2917,92.66,89.5833,89.5833
mnist,lr,8,9,1467.8333,92.66,89.5833,89.5833
mnist,lr,8,10,1505.4167,92.66,89.5833,89.5833
mnist,lr,10,1,1482.7083,92.66,89.5833,89.5833
mnist,lr,10,2,1471.1458,92.66,89.5833,89.5833
mnist,lr,10,3,1520.6667,92.66,89.5833,89.5833
mnist,lr,10,4,1497.2500,92.66,89.5833,89.5833
mnist,lr,10,5,1520.2708,92.66,89.5833,89.5833
mnist,lr,10,6,1514.1250,92.66,89.5833,89.5833
mnist,lr,10,7,1541.2292,92.66,89.5833,89.5833
mnist,lr,10,8,1527.3125,92.66,89.5833,89.5833
mnist,lr,10,9,1503.1458,92.66,89.5833,89.5833
mnist,lr,10,10,1498.0417,92.66,89.5833,89.5833
mnist,lr,12,1,1520.0208,92.66,89.5833,89.5833
mnist,lr,12,2,1559.5833,92.66,89.5833,89.5833
mnist,lr,12,3,1494.0625,92.66,89.5833,89.5833
mnist,lr,12,4,1483.6458,92.66,89.5833,89.5833
mnist,lr,12,5,1471.0000,92.66,89.5833,89.5833
mnist,lr,12,6,1534.5000,92.66,89.5833,89.5833
mnist,lr,12,7,1469.0417,92.66,89.5833,89.5833
mnist,lr,12,8,1503.2083,92.66,89.5833,89.5833
mnist,lr,12,9,1521.3958,92.66,89.5833,89.5833
mnist,lr,12,10,1515.4583,92.66,89.5833,89.5833
mnist,lr,14,1,1518.1875,92.66,89.5833,89.5833
mnist,lr,14,2,1434.3125,92.66,89.5833,89.5833
mnist,lr,14,3,1459.7292,92.66,89.5833,89.5833
mnist,lr,14,4,1479.3542,92.66,89.5833,89.5833
mnist,lr,14,5,1499.5417,92.66,89.5833,89.5833
mnist,lr,14,6,1522.1875,92.66,89.5833,89.5833
mnist,lr,14,7,1483.4167,92.66,89.5833,89.5833
mnist,lr,14,8,1554.8958,92.66,89.5833,89.5833
mnist,lr,14,9,1514.9167,92.66,89.5833,89.5833
mnist,lr,14,10,1517.4792,92.66,89.5833,89.5833
mnist,lr,16,1,1454.1250,92.66,89.5833,89.5833
mnist,lr,16,2,1472.5833,92.66,89.5833,89.5833
mnist,lr,16,3,1489.6458,92.66,89.5833,89.5833
mnist,lr,16,4,1454.5000,92.66,89.5833,89.5833
mnist,lr,16,5,1505.0000,92.66,89.5833,89.5833
mnist,lr,16,6,1524.2708,92.66,89.5833,89.5833
mnist,lr,16,7,1524.5833,92.66,89.5833,89.5833
mnist,lr,16,8,1492.0625,92.66,89.5833,89.5833
mnist,lr,16,9,1486.5000,92.66,89.5833,89.5833
mnist,lr,16,10,1522.8125,92.66,89.5833,89.5833
