dataset,model,threads,iteration,avg_latency_ms,train_acc_percent,test_acc_percent,fhe_acc_percent
mnist,mlp,1,1,27744.6250,90.38,93.75,93.75
mnist,mlp,1,2,27433.9583,90.38,93.75,93.75
mnist,mlp,1,3,27946.5625,90.38,93.75,93.75
mnist,mlp,1,4,27293.9375,90.38,93.75,93.75
mnist,mlp,1,5,28025.8958,90.38,93.75,93.75
mnist,mlp,1,6,27363.8125,90.38,93.75,93.75
mnist,mlp,1,7,27373.8125,90.38,93.75,93.75
mnist,mlp,1,8,27827.5000,90.38,93.75,93.75
mnist,mlp,1,9,28435.5208,90.38,93.75,93.75
mnist,mlp,1,10,28063.9583,90.38,93.75,93.75
mnist,mlp,2,1,16194.9792,90.38,93.75,93.75
mnist,mlp,2,2,16054.0208,90.38,93.75,93.75
mnist,mlp,2,3,15989.6250,90.38,93.75,93.75
mnist,mlp,2,4,16065.0833,90.38,93.75,93.75
mnist,mlp,2,5,16177.5625,90.38,93.75,93.75
mnist,mlp,2,6,15987.8333,90.38,93.75,93.75
mnist,mlp,2,7,16069.5625,90.38,93.75,93.75
mnist,mlp,2,8,16291.4167,90.38,93.75,93.75
mnist,mlp,2,9,16283.1875,90.38,93.75,93.75
mnist,mlp,2,10,16279.3333,90.38,93.75,93.75
mnist,mlp,4,1,13329.0417,90.38,93.75,93.75
mnist,mlp,4,2,13385.8333,90.38,93.75,93.75
mnist,mlp,4,3,13310.0833,90.38,93.75,93.75
mnist,mlp,4,4,13124.0208,90.38,93.75,93.75
mnist,mlp,4,5,13483.7292,90.38,93.75,93.75
mnist,mlp,4,6,13430.3750,90.38,93.75,93.75
mnist,mlp,4,7,13355.2500,90.38,93.75,93.75
mnist,mlp,4,8,13368.2708,90.38,93.75,93.75
mnist,mlp,4,9,13173.3958,90.38,93.75,93.75
mnist,mlp,4,10,13203.7917,90.38,93.75,93.75
mnist,mlp,6,1,15581.2708,90.38,93.75,93.75
mnist,mlp,6,2,15131.6042,90.38,93.75,93.75
mnist,mlp,6,3,15261.3750,90.38,93.75,93.75
mnist,mlp,6,4,15173.8542,90.38,93.75,93.75
mnist,mlp,6,5,15451.2708,90.38,93.75,93.75
mnist,mlp,6,6,14994.2708,90.38,93.75,93.75
mnist,mlp,6,7,14919.1250,90.38,93.75,93.75
mnist,mlp,6,8,15008.8750,90.38,93.75,93.75
mnist,mlp,6,9,15257.9583,90.38,93.75,93.75
mnist,mlp,6,10,15364.7292,90.38,93.75,93.75
mnist,mlp,8,1,15015.9375,90.38,93.75,93.75
mnist,mlp,8,2,14825.5208,90.38,93.75,93.75
mnist,mlp,8,3,14927.0833,90.38,93.75,93.75
mnist,mlp,8,4,14715.4792,90.38,93.75,93.75
mnist,mlp,8,5,14719.8750,90.38,93.75,93.75
mnist,mlp,8,6,14728.6667,90.38,93.75,93.75
mnist,mlp,8,7,14758.7708,90.38,93.75,93.75
mnist,mlp,8,8,14866.2708,90.38,93.75,93.75
mnist,mlp,8,9,14772.3333,90.38,93.75,93.75
mnist,mlp,8,10,14626.5625,90.38,93.75,93.75
mnist,mlp,10,1,14167.0000,90.38,93.75,93.75
mnist,mlp,10,2,13962.5208,90.38,93.75,93.75
mnist,mlp,10,3,14104.0000,90.38,93.75,93.75
mnist,mlp,10,4,14199.8125,90.38,93.75,93.75
mnist,mlp,10,5,14130.0625,90.38,93.75,93.75
mnist,mlp,10,6,14065.5417,90.38,93.75,93.75
mnist,mlp,10,7,14099.8333,90.38,93.75,93.75
mnist,mlp,10,8,14135.9792,90.38,93.75,93.75
mnist,mlp,10,9,14406.6667,90.38,93.75,93.75
mnist,mlp,10,10,14064.5208,90.38,93.75,93.75
mnist,mlp,12,1,13895.7083,90.38,93.75,93.75
mnist,mlp,12,2,13928.0208,90.38,93.75,93.75
mnist,mlp,12,3,14023.3125,90.38,93.75,93.75
mnist,mlp,12,4,13982.3958,90.38,93.75,93.75
mnist,mlp,12,5,13953.9375,90.38,93.75,93.75
mnist,mlp,12,6,13964.5000,90.38,93.75,93.75
mnist,mlp,12,7,13994.6042,90.38,93.75,93.75
mnist,mlp,12,8,14237.3542,90.38,93.75,93.75
mnist,mlp,12,9,13954.8333,90.38,93.75,93.75
mnist,mlp,12,10,13803.5833,90.38,93.75,93.75
mnist,mlp,14,1,14032.6458,90.38,93.75,93.75
mnist,mlp,14,2,14034.0833,90.38,93.75,93.75
mnist,mlp,14,3,14013.5208,90.38,93.75,93.75
mnist,mlp,14,4,14112.2083,90.38,93.75,93.75
mnist,mlp,14,5,14128.3750,90.38,93.75,93.75
mnist,mlp,14,6,13925.1667,90.38,93.75,93.75
mnist,mlp,14,7,13912.6667,90.38,93.75,93.75
mnist,mlp,14,8,13943.0000,90.38,93.75,93.75
mnist,mlp,14,9,14140.1458,90.38,93.75,93.75
mnist,mlp,14,10,13982.9583,90.38,93.75,93.75
mnist,mlp,16,1,13700.4583,90.38,93.75,93.75
mnist,mlp,16,2,13690.2083,90.38,93.75,93.75
mnist,mlp,16,3,13705.8125,90.38,93.75,93.75
mnist,mlp,16,4,13761.2708,90.38,93.75,93.75
mnist,mlp,16,5,13817.0000,90.38,93.75,93.75
mnist,mlp,16,6,13566.4375,90.38,93.75,93.75
mnist,mlp,16,7,13740.7500,90.38,93.75,93.75
mnist,mlp,16,8,13771.6458,90.38,93.75,93.75
mnist,mlp,16,9,13701.1042,90.38,93.75,93.75
mnist,mlp,16,10,13825.6458,90.38,93.75,93.75
