dataset,model,threads,iteration,avg_latency_ms,train_acc_percent,test_acc_percent,fhe_acc_percent
wdbc,lr,1,1,57.9386,100,100,100
wdbc,lr,1,2,57.7193,100,100,100
wdbc,lr,1,3,53.5702,100,100,100
wdbc,lr,1,4,53.5526,100,100,100
wdbc,lr,1,5,54.9825,100,100,100
wdbc,lr,1,6,54.9649,100,100,100
wdbc,lr,1,7,60.5175,100,100,100
wdbc,lr,1,8,59.5263,100,100,100
wdbc,lr,1,9,58.7632,100,100,100
wdbc,lr,1,10,52.6404,100,100,100
wdbc,lr,2,1,55.5965,100,100,100
wdbc,lr,2,2,61.4474,100,100,100
wdbc,lr,2,3,51.5351,100,100,100
wdbc,lr,2,4,60.0614,100,100,100
wdbc,lr,2,5,66.9649,100,100,100
wdbc,lr,2,6,55.6842,100,100,100
wdbc,lr,2,7,58.7193,100,100,100
wdbc,lr,2,8,67.4561,100,100,100
wdbc,lr,2,9,65.3158,100,100,100
wdbc,lr,2,10,53.3684,100,100,100
wdbc,lr,4,1,56.6228,100,100,100
wdbc,lr,4,2,52.4561,100,100,100
wdbc,lr,4,3,61.2719,100,100,100
wdbc,lr,4,4,59.6842,100,100,100
wdbc,lr,4,5,58.4912,100,100,100
wdbc,lr,4,6,65.5000,100,100,100
wdbc,lr,4,7,57.6491,100,100,100
wdbc,lr,4,8,66.7719,100,100,100
wdbc,lr,4,9,67.9298,100,100,100
wdbc,lr,4,10,61.5175,100,100,100
wdbc,lr,6,1,62.5088,100,100,100
wdbc,lr,6,2,62.4035,100,100,100
wdbc,lr,6,3,61.3772,100,100,100
wdbc,lr,6,4,49.8158,100,100,100
wdbc,lr,6,5,61.0351,100,100,100
wdbc,lr,6,6,54.2281,100,100,100
wdbc,lr,6,7,61.1404,100,100,100
wdbc,lr,6,8,58.3246,100,100,100
wdbc,lr,6,9,61.9561,100,100,100
wdbc,lr,6,10,64.4386,100,100,100
wdbc,lr,8,1,59.1579,100,100,100
wdbc,lr,8,2,65.6491,100,100,100
wdbc,lr,8,3,52.3860,100,100,100
wdbc,lr,8,4,69.9737,100,100,100
wdbc,lr,8,5,51.4737,100,100,100
wdbc,lr,8,6,60.6667,100,100,100
wdbc,lr,8,7,59.8158,100,100,100
wdbc,lr,8,8,60.3421,100,100,100
wdbc,lr,8,9,68.4386,100,100,100
wdbc,lr,8,10,58.9825,100,100,100
wdbc,lr,10,1,63.6316,100,100,100
wdbc,lr,10,2,67.0439,100,100,100
wdbc,lr,10,3,59.5263,100,100,100
wdbc,lr,10,4,67.2456,100,100,100
wdbc,lr,10,5,67.9649,100,100,100
wdbc,lr,10,6,61.5965,100,100,100
wdbc,lr,10,7,59.8070,100,100,100
wdbc,lr,10,8,62.5614,100,100,100
wdbc,lr,10,9,58.8947,100,100,100
wdbc,lr,10,10,53.0351,100,100,100
wdbc,lr,12,1,63.5439,100,100,100
wdbc,lr,12,2,57.9211,100,100,100
wdbc,lr,12,3,55.4474,100,100,100
wdbc,lr,12,4,62.2456,100,100,100
wdbc,lr,12,5,68.5965,100,100,100
wdbc,lr,12,6,68.0088,100,100,100
wdbc,lr,12,7,68.8772,100,100,100
wdbc,lr,12,8,61.1491,100,100,100
wdbc,lr,12,9,56.0439,100,100,100
wdbc,lr,12,10,55.6842,100,100,100
wdbc,lr,14,1,69.4298,100,100,100
wdbc,lr,14,2,68.3158,100,100,100
wdbc,lr,14,3,62.0614,100,100,100
wdbc,lr,14,4,57.6930,100,100,100
wdbc,lr,14,5,62.6404,100,100,100
wdbc,lr,14,6,56.1228,100,100,100
wdbc,lr,14,7,58.0965,100,100,100
wdbc,lr,14,8,68.9298,100,100,100
wdbc,lr,14,9,69.9298,100,100,100
wdbc,lr,14,10,63.9211,100,100,100
wdbc,lr,16,1,66.4737,100,100,100
wdbc,lr,16,2,53.0351,100,100,100
wdbc,lr,16,3,59.6842,100,100,100
wdbc,lr,16,4,51.6842,100,100,100
wdbc,lr,16,5,53.6316,100,100,100
wdbc,lr,16,6,61.6842,100,100,100
wdbc,lr,16,7,59.6842,100,100,100
wdbc,lr,16,8,67.3684,100,100,100
wdbc,lr,16,9,61.8421,100,100,100
wdbc,lr,16,10,68.1491,100,100,100
