dataset,model,threads,iteration,avg_latency_ms,train_acc_percent,test_acc_percent,fhe_acc_percent
wdbc,mlp,1,1,1620.7456,100,100,100
wdbc,mlp,1,2,1633.3246,100,100,100
wdbc,mlp,1,3,1624.5614,100,100,100
wdbc,mlp,1,4,1692.7105,100,100,100
wdbc,mlp,1,5,1686.2719,100,100,100
wdbc,mlp,1,6,1682.0351,100,100,100
wdbc,mlp,1,7,1686.5175,100,100,100
wdbc,mlp,1,8,1630.0614,100,100,100
wdbc,mlp,1,9,1598.6491,100,100,100
wdbc,mlp,1,10,1636.2105,100,100,100
wdbc,mlp,2,1,982.4561,100,100,100
wdbc,mlp,2,2,1011.0526,100,100,100
wdbc,mlp,2,3,985.3333,100,100,100
wdbc,mlp,2,4,1009.4474,100,100,100
wdbc,mlp,2,5,978.9386,100,100,100
wdbc,mlp,2,6,1005.2544,100,100,100
wdbc,mlp,2,7,983.7105,100,100,100
wdbc,mlp,2,8,963.1316,100,100,100
wdbc,mlp,2,9,988.1316,100,100,100
wdbc,mlp,2,10,1003.5789,100,100,100
wdbc,mlp,4,1,1066.7105,100,100,100
wdbc,mlp,4,2,1054.2895,100,100,100
wdbc,mlp,4,3,1096.6491,100,100,100
wdbc,mlp,4,4,1087.0526,100,100,100
wdbc,mlp,4,5,1068.0877,100,100,100
wdbc,mlp,4,6,1093.4825,100,100,100
wdbc,mlp,4,7,1075.6140,100,100,100
wdbc,mlp,4,8,1079.7544,100,100,100
wdbc,mlp,4,9,1122.2895,100,100,100
wdbc,mlp,4,10,1075.5088,100,100,100
wdbc,mlp,6,1,1064.2281,100,100,100
wdbc,mlp,6,2,1066.7281,100,100,100
wdbc,mlp,6,3,1020.6404,100,100,100
wdbc,mlp,6,4,1038.0351,100,100,100
wdbc,mlp,6,5,1054.7018,100,100,100
wdbc,mlp,6,6,1041.0088,100,100,100
wdbc,mlp,6,7,1061.3333,100,100,100
wdbc,mlp,6,8,1032.3684,100,100,100
wdbc,mlp,6,9,1066.0000,100,100,100
wdbc,mlp,6,10,1061.9386,100,100,100
wdbc,mlp,8,1,987.9386,100,100,100
wdbc,mlp,8,2,1013.1579,100,100,100
wdbc,mlp,8,3,1025.7544,100,100,100
wdbc,mlp,8,4,1009.7544,100,100,100
wdbc,mlp,8,5,1016.3509,100,100,100
wdbc,mlp,8,6,1010.6140,100,100,100
wdbc,mlp,8,7,1002.7719,100,100,100
wdbc,mlp,8,8,1012.6667,100,100,100
wdbc,mlp,8,9,993.7368,100,100,100
wdbc,mlp,8,10,1017.4561,100,100,100
wdbc,mlp,10,1,1005.3509,100,100,100
wdbc,mlp,10,2,1005.6491,100,100,100
wdbc,mlp,10,3,996.7544,100,100,100
wdbc,mlp,10,4,1007.7281,100,100,100
wdbc,mlp,10,5,1006.7719,100,100,100
wdbc,mlp,10,6,1009.2456,100,100,100
wdbc,mlp,10,7,1006.7719,100,100,100
wdbc,mlp,10,8,998.3596,100,100,100
wdbc,mlp,10,9,975.5789,100,100,100
wdbc,mlp,10,10,1002.0789,100,100,100
wdbc,mlp,12,1,988.8596,100,100,100
wdbc,mlp,12,2,982.5702,100,100,100
wdbc,mlp,12,3,1013.3421,100,100,100
wdbc,mlp,12,4,1001.0000,100,100,100
wdbc,mlp,12,5,1016.8684,100,100,100
wdbc,mlp,12,6,974.7368,100,100,100
wdbc,mlp,12,7,1008.9123,100,100,100
wdbc,mlp,12,8,993.4123,100,100,100
wdbc,mlp,12,9,998.8596,100,100,100
wdbc,mlp,12,10,1000.9737,100,100,100
wdbc,mlp,14,1,933.5789,100,100,100
wdbc,mlp,14,2,915.5000,100,100,100
wdbc,mlp,14,3,937.7719,100,100,100
wdbc,mlp,14,4,927.4211,100,100,100
wdbc,mlp,14,5,935.7544,100,100,100
wdbc,mlp,14,6,947.3772,100,100,100
wdbc,mlp,14,7,937.1667,100,100,100
wdbc,mlp,14,8,941.2281,100,100,100
wdbc,mlp,14,9,920.9211,100,100,100
wdbc,mlp,14,10,938.9912,100,100,100
wdbc,mlp,16,1,920.4737,100,100,100
wdbc,mlp,16,2,962.8596,100,100,100
wdbc,mlp,16,3,939.2544,100,100,100
wdbc,mlp,16,4,984.1754,100,100,100
wdbc,mlp,16,5,967.7719,100,100,100
wdbc,mlp,16,6,968.0526,100,100,100
wdbc,mlp,16,7,946.7368,100,100,100
wdbc,mlp,16,8,932.8158,100,100,100
wdbc,mlp,16,9,961.5789,100,100,100
wdbc,mlp,16,10,961.1842,100,100,100
