dataset,model,threads,iteration,avg_latency_ms,train_acc_percent,test_acc_percent,fhe_acc_percent
iris,lr,1,1,301.1333,97.5,100,100
iris,lr,1,2,315.4667,97.5,100,100
iris,lr,1,3,318.0000,97.5,100,100
iris,lr,1,4,324.0667,97.5,100,100
iris,lr,1,5,310.2333,97.5,100,100
iris,lr,2,1,259.4000,97.5,100,100
iris,lr,2,2,249.1333,97.5,100,100
iris,lr,2,3,251.6333,97.5,100,100
iris,lr,2,4,258.0667,97.5,100,100
iris,lr,2,5,259.9333,97.5,100,100
iris,lr,4,1,231.7667,97.5,100,100
iris,lr,4,2,257.7000,97.5,100,100
iris,lr,4,3,261.1000,97.5,100,100
iris,lr,4,4,256.2000,97.5,100,100
iris,lr,4,5,223.9333,97.5,100,100
iris,lr,6,1,264.9333,97.5,100,100
iris,lr,6,2,217.6000,97.5,100,100
iris,lr,6,3,262.3667,97.5,100,100
iris,lr,6,4,229.2000,97.5,100,100
iris,lr,6,5,219.4667,97.5,100,100
iris,lr,8,1,256.8000,97.5,100,100
iris,lr,8,2,254.1000,97.5,100,100
iris,lr,8,3,248.7667,97.5,100,100
iris,lr,8,4,260.5333,97.5,100,100
iris,lr,8,5,218.5000,97.5,100,100
iris,lr,10,1,255.9667,97.5,100,100
iris,lr,10,2,263.1667,97.5,100,100
iris,lr,10,3,235.6000,97.5,100,100
iris,lr,10,4,269.6667,97.5,100,100
iris,lr,10,5,259.5000,97.5,100,100
iris,lr,12,1,235.0667,97.5,100,100
iris,lr,12,2,259.7000,97.5,100,100
iris,lr,12,3,231.9333,97.5,100,100
iris,lr,12,4,262.1000,97.5,100,100
iris,lr,12,5,263.0000,97.5,100,100
iris,lr,14,1,264.1000,97.5,100,100
iris,lr,14,2,267.5667,97.5,100,100
iris,lr,14,3,262.3667,97.5,100,100
iris,lr,14,4,225.1000,97.5,100,100
iris,lr,14,5,253.3333,97.5,100,100
iris,lr,16,1,201.8000,97.5,100,100
iris,lr,16,2,228.0333,97.5,100,100
iris,lr,16,3,259.5333,97.5,100,100
iris,lr,16,4,245.3333,97.5,100,100
iris,lr,16,5,262.8000,97.5,100,100
