dataset,model,threads,iteration,avg_latency_ms,train_acc_percent,test_acc_percent,fhe_acc_percent
iris,mlp,1,1,1916.7000,97.5,100,80
iris,mlp,1,2,1894.7667,97.5,100,80
iris,mlp,1,3,1775.3333,97.5,100,80
iris,mlp,1,4,1781.7000,97.5,100,80
iris,mlp,1,5,1915.2667,97.5,100,80
iris,mlp,2,1,1233.9000,97.5,100,80
iris,mlp,2,2,1272.3000,97.5,100,80
iris,mlp,2,3,1230.9667,97.5,100,80
iris,mlp,2,4,1251.0000,97.5,100,80
iris,mlp,2,5,1258.1667,97.5,100,80
iris,mlp,4,1,1343.9667,97.5,100,80
iris,mlp,4,2,1374.9000,97.5,100,80
iris,mlp,4,3,1297.1667,97.5,100,80
iris,mlp,4,4,1348.2667,97.5,100,80
iris,mlp,4,5,1369.8333,97.5,100,80
iris,mlp,6,1,1328.1000,97.5,100,80
iris,mlp,6,2,1310.7667,97.5,100,80
iris,mlp,6,3,1325.6667,97.5,100,80
iris,mlp,6,4,1292.3333,97.5,100,80
iris,mlp,6,5,1295.5667,97.5,100,80
iris,mlp,8,1,1329.5667,97.5,100,80
iris,mlp,8,2,1238.7000,97.5,100,80
iris,mlp,8,3,1215.1000,97.5,100,80
iris,mlp,8,4,1234.1667,97.5,100,80
iris,mlp,8,5,1230.1000,97.5,100,80
iris,mlp,10,1,1186.9667,97.5,100,80
iris,mlp,10,2,1211.5333,97.5,100,80
iris,mlp,10,3,1179.3000,97.5,100,80
iris,mlp,10,4,1240.1000,97.5,100,80
iris,mlp,10,5,1227.1333,97.5,100,80
iris,mlp,12,1,1202.1667,97.5,100,80
iris,mlp,12,2,1213.9333,97.5,100,80
iris,mlp,12,3,1184.7000,97.5,100,80
iris,mlp,12,4,1237.9000,97.5,100,80
iris,mlp,12,5,1263.1000,97.5,100,80
iris,mlp,14,1,1257.9333,97.5,100,80
iris,mlp,14,2,1241.0000,97.5,100,80
iris,mlp,14,3,1230.2333,97.5,100,80
iris,mlp,14,4,1240.8333,97.5,100,80
iris,mlp,14,5,1203.7333,97.5,100,80
iris,mlp,16,1,1199.6000,97.5,100,80
iris,mlp,16,2,1221.7333,97.5,100,80
iris,mlp,16,3,1218.3000,97.5,100,80
iris,mlp,16,4,1222.2667,97.5,100,80
iris,mlp,16,5,1209.7667,97.5,100,80
