dataset,model,threads,iteration,avg_latency_ms,train_acc_percent,test_acc_percent,fhe_acc_percent
mnist,lr,1,1,2831.1667,92.66,89.5833,89.5833
mnist,lr,1,2,2764.6250,92.66,89.5833,89.5833
mnist,lr,1,3,2924.8958,92.66,89.5833,89.5833
mnist,lr,1,4,2932.5417,92.66,89.5833,89.5833
mnist,lr,1,5,2890.5625,92.66,89.5833,89.5833
mnist,lr,2,1,1566.1875,92.66,89.5833,89.5833
mnist,lr,2,2,1637.1250,92.66,89.5833,89.5833
mnist,lr,2,3,1641.8333,92.66,89.5833,89.5833
mnist,lr,2,4,1717.0417,92.66,89.5833,89.5833
mnist,lr,2,5,1853.4792,92.66,89.5833,89.5833
mnist,lr,4,1,1413.8750,92.66,89.5833,89.5833
mnist,lr,4,2,1519.1875,92.66,89.5833,89.5833
mnist,lr,4,3,1533.0417,92.66,89.5833,89.5833
mnist,lr,4,4,1479.4167,92.66,89.5833,89.5833
mnist,lr,4,5,1609.4167,92.66,89.5833,89.5833
mnist,lr,6,1,1617.9792,92.66,89.5833,89.5833
mnist,lr,6,2,1575.7917,92.66,89.5833,89.5833
mnist,lr,6,3,1497.6667,92.66,89.5833,89.5833
mnist,lr,6,4,1579.4167,92.66,89.5833,89.5833
mnist,lr,6,5,1624.3542,92.66,89.5833,89.5833
mnist,lr,8,1,1516.5833,92.66,89.5833,89.5833
mnist,lr,8,2,1519.5833,92.66,89.5833,89.5833
mnist,lr,8,3,1523.2917,92.66,89.5833,89.5833
mnist,lr,8,4,1483.5833,92.66,89.5833,89.5833
mnist,lr,8,5,1492.1875,92.66,89.5833,89.5833
mnist,lr,10,1,1523.3542,92.66,89.5833,89.5833
mnist,lr,10,2,1587.2500,92.66,89.5833,89.5833
mnist,lr,10,3,1554.1042,92.66,89.5833,89.5833
mnist,lr,10,4,1541.1667,92.66,89.5833,89.5833
mnist,lr,10,5,1514.0833,92.66,89.5833,89.5833
mnist,lr,12,1,1544.2083,92.66,89.5833,89.5833
mnist,lr,12,2,1559.4792,92.66,89.5833,89.5833
mnist,lr,12,3,1594.3750,92.66,89.5833,89.5833
mnist,lr,12,4,1579.8333,92.66,89.5833,89.5833
mnist,lr,12,5,1565.4792,92.66,89.5833,89.5833
mnist,lr,14,1,1606.0208,92.66,89.5833,89.5833
mnist,lr,14,2,1593.8125,92.66,89.5833,89.5833
mnist,lr,14,3,1594.8125,92.66,89.5833,89.5833
mnist,lr,14,4,1556.2292,92.66,89.5833,89.5833
mnist,lr,14,5,1597.0208,92.66,89.5833,89.5833
mnist,lr,16,1,1582.8750,92.66,89.5833,89.5833
mnist,lr,16,2,1605.4167,92.66,89.5833,89.5833
mnist,lr,16,3,1596.2500,92.66,89.5833,89.5833
mnist,lr,16,4,1578.0833,92.66,89.5833,89.5833
mnist,lr,16,5,1609.8125,92.66,89.5833,89.5833
