dataset,model,threads,iteration,avg_latency_ms,train_acc_percent,test_acc_percent,fhe_acc_percent
mnist,mlp,1,1,28485.3542,90.38,93.75,93.75
mnist,mlp,1,2,28261.3333,90.38,93.75,93.75
mnist,mlp,1,3,28860.7708,90.38,93.75,93.75
mnist,mlp,1,4,28136.1667,90.38,93.75,93.75
mnist,mlp,1,5,28372.9375,90.38,93.75,93.75
mnist,mlp,2,1,16909.4792,90.38,93.75,93.75
mnist,mlp,2,2,16605.3750,90.38,93.75,93.75
mnist,mlp,2,3,16918.8333,90.38,93.75,93.75
mnist,mlp,2,4,16965.4792,90.38,93.75,93.75
mnist,mlp,2,5,16897.8542,90.38,93.75,93.75
mnist,mlp,4,1,14130.1667,90.38,93.75,93.75
mnist,mlp,4,2,14083.6458,90.38,93.75,93.75
mnist,mlp,4,3,13974.4792,90.38,93.75,93.75
mnist,mlp,4,4,14242.5625,90.38,93.75,93.75
mnist,mlp,4,5,14140.5208,90.38,93.75,93.75
mnist,mlp,6,1,15853.4792,90.38,93.75,93.75
mnist,mlp,6,2,15730.0208,90.38,93.75,93.75
mnist,mlp,6,3,15812.7500,90.38,93.75,93.75
mnist,mlp,6,4,15820.1458,90.38,93.75,93.75
mnist,mlp,6,5,15896.8542,90.38,93.75,93.75
mnist,mlp,8,1,15736.2917,90.38,93.75,93.75
mnist,mlp,8,2,15490.6875,90.38,93.75,93.75
mnist,mlp,8,3,15651.9167,90.38,93.75,93.75
mnist,mlp,8,4,15469.8125,90.38,93.75,93.75
mnist,mlp,8,5,15841.2917,90.38,93.75,93.75
mnist,mlp,10,1,14967.1667,90.38,93.75,93.75
mnist,mlp,10,2,14985.8542,90.38,93.75,93.75
mnist,mlp,10,3,14968.9583,90.38,93.75,93.75
mnist,mlp,10,4,14825.8542,90.38,93.75,93.75
mnist,mlp,10,5,15171.4792,90.38,93.75,93.75
mnist,mlp,12,1,14767.1875,90.38,93.75,93.75
mnist,mlp,12,2,14669.5833,90.38,93.75,93.75
mnist,mlp,12,3,14795.5208,90.38,93.75,93.75
mnist,mlp,12,4,14761.3333,90.38,93.75,93.75
mnist,mlp,12,5,14877.4375,90.38,93.75,93.75
mnist,mlp,14,1,14921.8958,90.38,93.75,93.75
mnist,mlp,14,2,14778.3542,90.38,93.75,93.75
mnist,mlp,14,3,14787.8333,90.38,93.75,93.75
mnist,mlp,14,4,14679.1250,90.38,93.75,93.75
mnist,mlp,14,5,14682.3958,90.38,93.75,93.75
mnist,mlp,16,1,14322.7917,90.38,93.75,93.75
mnist,mlp,16,2,14513.3750,90.38,93.75,93.75
mnist,mlp,16,3,14464.5833,90.38,93.75,93.75
mnist,mlp,16,4,14637.3125,90.38,93.75,93.75
mnist,mlp,16,5,14538.9375,90.38,93.75,93.75
