dataset,model,threads,iteration,avg_latency_ms,train_acc_percent,test_acc_percent,fhe_acc_percent
wdbc,lr,1,1,65.4123,100,100,100
wdbc,lr,1,2,66.4298,100,100,100
wdbc,lr,1,3,66.4123,100,100,100
wdbc,lr,1,4,54.8684,100,100,100
wdbc,lr,1,5,54.8684,100,100,100
wdbc,lr,2,1,60.5439,100,100,100
wdbc,lr,2,2,60.8860,100,100,100
wdbc,lr,2,3,69.0000,100,100,100
wdbc,lr,2,4,69.1754,100,100,100
wdbc,lr,2,5,53.4123,100,100,100
wdbc,lr,4,1,60.1667,100,100,100
wdbc,lr,4,2,68.9561,100,100,100
wdbc,lr,4,3,60.2807,100,100,100
wdbc,lr,4,4,69.2807,100,100,100
wdbc,lr,4,5,69.4912,100,100,100
wdbc,lr,6,1,58.2368,100,100,100
wdbc,lr,6,2,56.0439,100,100,100
wdbc,lr,6,3,57.7193,100,100,100
wdbc,lr,6,4,70.6140,100,100,100
wdbc,lr,6,5,70.6491,100,100,100
wdbc,lr,8,1,48.1579,100,100,100
wdbc,lr,8,2,67.7105,100,100,100
wdbc,lr,8,3,59.6053,100,100,100
wdbc,lr,8,4,67.5877,100,100,100
wdbc,lr,8,5,62.5351,100,100,100
wdbc,lr,10,1,56.9035,100,100,100
wdbc,lr,10,2,67.7456,100,100,100
wdbc,lr,10,3,67.3070,100,100,100
wdbc,lr,10,4,56.5000,100,100,100
wdbc,lr,10,5,69.0789,100,100,100
wdbc,lr,12,1,62.0526,100,100,100
wdbc,lr,12,2,71.2544,100,100,100
wdbc,lr,12,3,56.0439,100,100,100
wdbc,lr,12,4,62.0702,100,100,100
wdbc,lr,12,5,71.5088,100,100,100
wdbc,lr,14,1,66.7193,100,100,100
wdbc,lr,14,2,70.5263,100,100,100
wdbc,lr,14,3,67.2368,100,100,100
wdbc,lr,14,4,71.4912,100,100,100
wdbc,lr,14,5,65.5000,100,100,100
wdbc,lr,16,1,71.5000,100,100,100
wdbc,lr,16,2,59.9211,100,100,100
wdbc,lr,16,3,58.3070,100,100,100
wdbc,lr,16,4,69.2719,100,100,100
wdbc,lr,16,5,61.6579,100,100,100
