dataset,model,threads,iteration,avg_latency_ms,train_acc_percent,test_acc_percent,fhe_acc_percent
wdbc,mlp,1,1,1710.2719,100,100,100
wdbc,mlp,1,2,1687.7895,100,100,100
wdbc,mlp,1,3,1713.2982,100,100,100
wdbc,mlp,1,4,1702.3070,100,100,100
wdbc,mlp,1,5,1776.3509,100,100,100
wdbc,mlp,2,1,1042.9737,100,100,100
wdbc,mlp,2,2,1021.5877,100,100,100
wdbc,mlp,2,3,1061.9825,100,100,100
wdbc,mlp,2,4,1023.3860,100,100,100
wdbc,mlp,2,5,1039.1053,100,100,100
wdbc,mlp,4,1,1141.0965,100,100,100
wdbc,mlp,4,2,1166.5702,100,100,100
wdbc,mlp,4,3,1180.0088,100,100,100
wdbc,mlp,4,4,1170.6930,100,100,100
wdbc,mlp,4,5,1140.0351,100,100,100
wdbc,mlp,6,1,1113.2193,100,100,100
wdbc,mlp,6,2,1111.2544,100,100,100
wdbc,mlp,6,3,1110.4912,100,100,100
wdbc,mlp,6,4,1096.2105,100,100,100
wdbc,mlp,6,5,1097.5263,100,100,100
wdbc,mlp,8,1,1028.1404,100,100,100
wdbc,mlp,8,2,1067.1754,100,100,100
wdbc,mlp,8,3,1044.9912,100,100,100
wdbc,mlp,8,4,1049.6579,100,100,100
wdbc,mlp,8,5,1057.8509,100,100,100
wdbc,mlp,10,1,1047.6579,100,100,100
wdbc,mlp,10,2,1043.8070,100,100,100
wdbc,mlp,10,3,1067.5351,100,100,100
wdbc,mlp,10,4,1074.1667,100,100,100
wdbc,mlp,10,5,1069.3158,100,100,100
wdbc,mlp,12,1,1045.5351,100,100,100
wdbc,mlp,12,2,1057.0526,100,100,100
wdbc,mlp,12,3,1029.5526,100,100,100
wdbc,mlp,12,4,1057.5263,100,100,100
wdbc,mlp,12,5,1040.7456,100,100,100
wdbc,mlp,14,1,1003.5351,100,100,100
wdbc,mlp,14,2,989.8596,100,100,100
wdbc,mlp,14,3,993.1579,100,100,100
wdbc,mlp,14,4,1001.0439,100,100,100
wdbc,mlp,14,5,990.1491,100,100,100
wdbc,mlp,16,1,1009.6667,100,100,100
wdbc,mlp,16,2,1006.3772,100,100,100
wdbc,mlp,16,3,1010.3333,100,100,100
wdbc,mlp,16,4,1000.7632,100,100,100
wdbc,mlp,16,5,1016.5789,100,100,100
