[spy] pinned to core 2
[spy] hit_mean=421 miss_mean=580 threshold=500
[spy] mapped ./openssl/libcrypto.so size=3428352, Te0 region [0x7aeebce37d40, 0x7aeebce38140)
probe_offset,pt_0,pt_16,pt_32,pt_48,pt_64,pt_80,pt_96,pt_112,pt_128,pt_144,pt_160,pt_176,pt_192,pt_208,pt_224,pt_240
0x000000,9999,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
0x000040,0,9999,23,6,9,11,4,4,4,6,7,6,5,6,2,3
0x000080,0,0,9999,1,1,1,2,1,0,0,0,0,1,0,0,0
0x0000c0,0,0,0,9999,0,0,0,0,0,0,0,0,0,0,0,0
0x000100,0,0,0,0,10000,0,0,0,0,0,0,0,0,0,0,0
0x000140,0,0,0,0,0,10000,0,0,0,0,0,0,0,0,0,0
0x000180,0,0,0,0,0,0,10000,0,0,0,0,0,0,0,0,0
0x0001c0,0,349,488,404,322,290,439,10000,460,417,374,482,331,328,389,308
0x000200,0,0,0,0,0,1,1,0,9999,1,0,0,0,0,1,1
0x000240,0,44,26,21,14,16,39,22,19,10000,16,20,10,27,18,13
0x000280,0,0,2,0,1,2,0,0,1,1,9999,0,0,1,1,0
0x0002c0,0,0,0,1,1,1,1,1,0,1,0,9999,3,1,0,3
0x000300,0,0,0,0,0,0,0,0,0,0,0,0,10000,0,0,0
0x000340,0,0,0,0,0,3,0,2,3,0,3,3,4,10000,3,0
0x000380,0,0,0,0,0,0,0,1,0,2,0,1,1,0,10000,2
0x0003c0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9998
