[spy] pinned to core 2
[spy] hit_mean=371 miss_mean=528 threshold=449
[spy] mapped ./openssl/libcrypto.so size=3428352, Te0 region [0x7b85bf637d40, 0x7b85bf638140)
probe_offset,pt_0,pt_16,pt_32,pt_48,pt_64,pt_80,pt_96,pt_112,pt_128,pt_144,pt_160,pt_176,pt_192,pt_208,pt_224,pt_240
0x000000,9996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x000040,0,9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x000080,0,0,9998,0,0,0,0,0,0,0,0,0,0,0,0,0
0x0000c0,0,0,0,9999,0,0,0,0,0,0,0,0,0,0,0,0
0x000100,0,0,0,0,10000,0,0,0,0,0,0,0,0,0,0,0
0x000140,0,0,0,0,0,10000,0,0,0,0,0,0,0,0,0,0
0x000180,0,0,0,0,0,0,9999,0,0,0,0,0,0,0,0,0
0x0001c0,0,0,0,0,0,0,0,10000,0,0,0,0,0,1,0,0
0x000200,0,0,0,0,0,0,0,0,10000,0,0,0,0,0,0,0
0x000240,0,0,0,0,0,0,0,0,0,10000,0,0,0,0,0,0
0x000280,0,0,0,0,0,0,0,0,0,0,10000,0,0,0,0,0
0x0002c0,0,0,0,0,0,0,0,0,0,0,0,9999,0,0,0,0
0x000300,0,0,0,0,0,0,0,0,0,0,0,0,10000,0,0,0
0x000340,0,0,0,0,0,0,1,0,0,0,0,0,0,10000,0,0
0x000380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999,0
0x0003c0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10000
