probe_offset,pt_0,pt_16,pt_32,pt_48,pt_64,pt_80,pt_96,pt_112,pt_128,pt_144,pt_160,pt_176,pt_192,pt_208,pt_224,pt_240
0x000000,787,203,224,406,160,466,93,354,337,197,111,165,266,169,390,84
0x000040,170,2251,289,500,548,87,110,191,95,252,129,164,424,100,470,46
0x000080,212,1204,2318,91,103,508,347,474,356,201,56,59,338,154,27,860
0x0000c0,1041,211,204,16685,269,103,153,1146,35,151,1089,89,1470,1544,1455,128
0x000100,172,55,174,1436,15314,731,160,211,231,902,707,280,313,166,123,1379
0x000140,185,217,308,251,210,18717,164,181,58,414,213,189,105,235,329,245
0x000180,302,98,281,1818,37,534,18318,764,297,436,214,239,466,176,787,61
0x0001c0,152,125,81,93,159,252,244,15792,89,229,113,131,246,93,105,85
0x000200,110,174,110,80,257,65,53,721,16849,252,153,542,98,175,614,156
0x000240,124,43,152,264,82,179,38,84,322,16784,114,242,69,803,206,200
0x000280,945,849,36,721,100,146,239,89,664,38,17734,119,109,75,62,312
0x0002c0,148,1086,44,93,338,242,248,135,516,98,334,17013,46,124,249,1643
0x000300,24,1534,719,68,89,277,76,233,163,1444,222,272,16638,434,1183,88
0x000340,176,235,81,245,222,124,186,87,291,220,77,58,96,16046,146,149
0x000380,196,236,211,234,17,52,215,138,414,131,147,51,91,96,1792,156
0x0003c0,99,35,119,188,233,262,169,175,105,85,54,146,22,50,80,17760
